address,street,num,school,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio Address Line 4","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State / Province","Geocodio Nation","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Building Name","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"55 Dover Street, Somerville MA","Dover Street",55,"WEST SOMERVILLE",42.395684,-71.125411,1,rooftop,"55 Dover St",,"Somerville, MA 02144",,55,"Dover St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnyjtwdlbf2l659y4v6v5a45eb4e,building_centroid
"76 Dover Street, Somerville MA","Dover Street",76,"WEST SOMERVILLE",42.395507,-71.125093,1,range_interpolation,"76 Dover St",,"Somerville, MA 02144",,76,"Dover St",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_usnyjtwdlbf2l659gm8fsxfg5c942,
"97 Dover Street, Somerville MA","Dover Street",97,"WEST SOMERVILLE",42.396384,-71.124178,1,rooftop,"97 Dover St",,"Somerville, MA 02144",,97,"Dover St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnyjtwdlbf2l659t83pt6m945676,building_centroid
