street,left_from,left_to,right_from,right_to,zip_left,zip_right
Medford St,510,598,511,599,02145,02145
Norwood Ave,2,98,1,99,02145,02145
Medford St,494,508,495,509,02145,02145
Broadway,400,464,nan,nan,02143,nan
Broadway,442,448,nan,nan,02145,nan
Trull St,2,98,1,99,02145,02145
Trull St,400,498,nan,nan,02145,nan
Vernon St,100,198,101,199,02145,02145
Lowell St,304,336,303,335,02145,02145
Lowell St,338,350,337,349,02145,02145
Broadway,450,460,nan,nan,02145,nan
Partridge Ave,70,98,61,99,02145,02145
Medford St,484,492,487,493,02145,02145
Partridge Ave,2,68,1,59,02145,02145
Vernon St,78,98,67,99,02145,02145
Richardson St,2,18,1,17,02145,02145
Central St,nan,nan,117,119,nan,02145
Vernon St,62,76,nan,nan,02145,nan
Vernon St,50,60,53,65,02145,02145
Vernon St,8,48,25,51,02145,02145
Vernon St,2,6,nan,nan,02145,nan
Broadway,800,810,773,799,02144,02144
Broadway,812,898,nan,nan,02145,nan
Pearson Rd,2,36,1,39,02144,02144
College Ave,100,114,101,111,02144,02144
Summit St,2,98,1,99,02144,02144
College Ave,82,98,87,99,02144,02144
Liberty Ave,2,32,nan,nan,02144,nan
Liberty Ave,34,36,nan,nan,02144,nan
Powder House Ter,2,98,1,99,02144,02144
Kidder Ave,2,28,1,29,02144,02144
Bay State Ave,2,30,1,29,02144,02144
Mallet St,22,98,nan,nan,02144,nan
Liberty Ave,92,98,93,99,02144,02144
Liberty Ave,100,198,101,109,02144,02144
Hall Ave,2,98,1,99,02144,02144
Francesca Ave,2,98,1,99,02144,02144
Grove St,54,98,61,99,02144,02144
Winslow Ave,22,34,23,37,02144,02144
Morrison Ave,200,298,201,299,02144,02144
Liberty Ave,nan,nan,111,199,nan,02144
Liberty Rd,nan,nan,101,199,nan,02144
Liberty Rd,nan,nan,100,198,nan,02144
Morrison Ave,156,172,153,175,02144,02144
Morrison Pl,2,98,1,199,02144,02144
Morrison Ave,150,154,nan,nan,02144,nan
Winslow Ave,36,98,39,99,02144,02144
Morrison Ave,174,198,177,199,02144,02144
Grove St,44,52,1,59,02144,02144
Kidder Ave,30,70,31,55,02144,02144
Liberty Ave,74,90,77,91,02144,02144
Willow Ave,156,180,161,179,02144,02144
Appleton St,2,14,1,15,02144,02144
Appleton St,16,98,17,27,02144,02144
Appleton St,nan,nan,29,99,nan,02144
Foskett St,38,98,21,99,02144,02144
Foskett St,18,36,nan,nan,02144,nan
Foskett St,2,16,1,19,02144,02144
Bay State Ave,72,98,71,99,02144,02144
Kidder Ave,nan,nan,57,67,nan,02144
Elm St,170,194,169,187,02140,02144
Elm St,nan,nan,159,167,nan,02144
Elm St,nan,nan,153,157,nan,02144
Clifton St,22,98,nan,nan,02144,nan
Bay State Ave,32,70,31,69,02144,02144
Liberty Ave,38,72,1,75,02144,02144
