street,left_from,left_to,right_from,right_to,zip_left,zip_right
Webster Ave,52,64,69,99,02143,02143
Webster Ave,66,98,nan,nan,02143,nan
Emerson St,2,98,1,99,02143,02143
Allen St,99,1,98,2,02143,02143
Milk Pl,1,99,2,98,02143,02143
Somerville Ave,250,288,243,293,02143,02143
Somerville Ave,242,248,nan,nan,02143,nan
Binney St,nan,nan,29,75,nan,02143
Willow Ave,2,48,1,49,02144,02144
Elm St,nan,nan,147,151,nan,02144
Elm St,nan,nan,133,139,nan,02144
Elm St,nan,nan,101,109,nan,02144
White St,49,99,32,98,02140,02144
Elm St,nan,nan,123,127,nan,02144
Elm St,nan,nan,111,121,nan,02144
White Street Pl,8,98,1,99,02144,02140
Somerville Ave,800,810,805,899,02143,02143
Somerville Ave,788,798,789,803,02143,02143
Somerville Ave,764,774,765,771,02143,02143
Summer St,304,316,301,311,02144,02144
Burnside Ave,2,98,1,99,02144,02144
Elm St,100,168,129,131,02140,02144
Banks St,2,98,1,99,02144,02144
Hancock St,nan,nan,55,65,nan,02144
Summer St,292,302,293,299,02144,02144
Summer St,318,324,313,327,02144,02144
Hancock St,2,72,1,53,02144,02144
Cherry St,38,40,35,39,02144,02144
Cherry St,18,36,7,33,02144,02144
Cherry St,2,16,1,5,02144,02144
Elm St,88,92,nan,nan,02144,nan
Summer St,280,290,289,291,02144,02144
Mossland St,2,98,1,99,02144,02144
Beacon Ter,2,98,1,99,02143,02143
Elm St,54,64,55,61,02144,02144
Elm St,66,84,63,87,02144,02144
Sartwell Ave,2,98,13,99,02144,02144
Holyoke Rd,2,98,1,99,02144,02144
Beacon St,370,398,nan,nan,02143,nan
Sacramento St,109,199,110,198,02143,02143
Somerville Ave,700,762,755,763,02143,02143
Somerville Ave,nan,nan,669,687,nan,02143
Somerville Ave,652,698,657,667,02143,02143
Sacramento St,101,107,98,108,02143,02143
Miller St,2,98,1,99,02143,02143
Beacon St,314,322,309,319,02143,02143
Stanford Ter,1,99,2,98,02143,02143
Adelaide Rd,2,98,99,1,02143,02143
Elm St,36,52,35,53,02143,02143
Elm St,2,34,13,33,02143,02143
Merriam St,nan,nan,39,99,nan,02143
Charlestown St,99,1,18,2,02143,02143
Linden St,99,1,98,2,02143,02143
Beach Ave,1,99,2,98,02143,02143
Colon Ct,1,99,2,98,02143,02143
Columbia St,nan,nan,444,598,nan,02143
Charlestown St,nan,nan,198,20,nan,02143
Medford St,nan,nan,35,99,nan,02143
Horace St,18,98,29,99,02143,02143
Ward St,15,27,22,98,02143,02143
Ward St,nan,nan,29,31,nan,02143
Ward St,nan,nan,35,99,nan,02143
South St,36,64,nan,nan,02143,nan
Earle St,2,98,1,99,02143,02143
South St,66,98,nan,nan,02143,nan
Merriam St,2,198,1,37,02143,02143
Somerville Ave,212,222,205,241,02143,02143
Columbia Ct,1,99,2,98,02143,02143
Webster Ave,nan,nan,304,300,nan,02143
Webster Ave,nan,nan,398,312,nan,02143
Harding St,49,99,nan,nan,02143,nan
Forest St,29,99,28,98,02143,02143
Beacon St,340,368,347,399,02143,02143
Hillside Cir,2,98,1,99,02143,02143
Craigie St,64,98,61,99,02143,02143
Craigie St,32,62,33,59,02143,02143
Craigie St,22,30,21,31,02143,02143
Dante Ter,2,98,1,99,02143,02143
Evergreen Sq,2,98,1,99,02143,02143
Porter St,8,14,7,13,02143,02143
Arnold Ave,2,98,1,99,02143,02143
Gould Ave,6,98,1,99,02143,02143
Gould Ave,2,4,nan,nan,02143,nan
Porter St,20,24,15,25,02143,02143
Porter St,26,30,27,31,02143,02143
Porter St,32,38,33,41,02143,02143
Porter St,40,46,43,61,02143,02143
Porter St,48,58,nan,nan,02143,nan
Summer St,216,226,217,229,02143,02143
Somerville Ave,nan,nan,599,635,nan,02143
Kent St,2,22,1,23,02143,02143
Somerville Ave,600,650,637,655,02143,02143
Kent Ct,2,98,1,99,02143,02143
Kent St,40,46,nan,nan,02143,nan
Kent St,48,98,47,99,02143,02143
Beacon St,202,248,nan,nan,02143,nan
Beacon St,254,258,nan,nan,02143,nan
Beacon St,284,286,nan,nan,02143,nan
Sacramento St,85,99,88,96,02143,02143
Beacon St,328,334,325,331,02143,02143
Prentiss St,95,99,78,98,02143,02143
Beacon St,336,338,333,345,02143,02143
Horace St,2,16,1,27,02143,02143
South St,nan,nan,33,99,nan,02143
South St,2,34,nan,nan,02143,nan
Binney St,400,498,401,499,02139,02143
Cedar St,80,98,91,99,02143,02143
Aberdeen Rd,2,20,1,99,02144,02144
Cedar St,76,78,75,89,02143,02143
Hall St,2,98,1,99,02144,02144
Hall St,20-00,20-98,nan,nan,02144,nan
Cherry St,52,66,49,63,02144,02144
Aberdeen Rd,22,98,nan,nan,02144,nan
Cedar St,64,74,61,73,02143,02143
Summer St,262,270,261,269,02144,02144
Summer St,272,278,271,287,02144,02144
Cherry St,42,50,41,47,02144,02144
Steeves Cir,2,98,1,99,02144,02144
Francis St,2,98,1,99,02143,02143
Porter St,96,104,91,103,02143,02143
Mountain Ave,2,98,1,99,02143,02143
Conwell St,nan,nan,21,99,nan,02143
Lowell St,182,198,181,199,02144,02144
Highland Ave,234,236,231,239,02143,02143
Highland Ave,238,252,241,249,02143,02143
Highland Ave,254,264,251,263,02143,02143
Highland Ave,266,276,265,273,02143,02143
Highland Ave,278,280,275,281,02143,02143
Hudson St,134,198,133,199,02144,02144
Ashland St,2,98,1,99,02144,02144
Porter St,76,82,63,77,02143,02143
Porter St,84,94,79,89,02143,02143
Cedar Ave,2,20,1,19,02143,02143
Cedar Ave,22,98,21,99,02143,02143
Linden Ave,60,98,53,99,02143,02143
Summer St,246,260,247,259,02143,02143
Linden Ave,48,58,49,51,02143,02143
Linden Pl,1,99,2,98,02143,02143
Linden Ave,42,46,43,47,02143,02143
Linden Ave,34,40,33,41,02143,02143
Linden Ave,26,32,29,31,02143,02143
Linden Ave,18,24,21,27,02143,02143
Gilson Ter,2,98,1,99,02143,02143
Cedar Street Pl,2,98,1,99,02143,02143
Peterson Ter,1,9,2,98,02143,02143
Peterson Ter,13,99,nan,nan,02143,nan
Olive Ave,2,98,1,99,02143,02143
Summer St,228,244,231,245,02143,02143
Linden Ave,2,16,1,19,02143,02143
Carver St,2,98,1,99,02143,02143
Linden Cir,98,2,1,99,02143,02143
Hayden Ter,1,99,2,98,02143,02143
College Ave,138,198,197,299,02144,02144
Hudson St,2,20,1,17,02143,02143
Hudson St,22,26,19,31,02143,02143
Hudson St,28,92,33,89,02143,02143
Albion St,2,42,1,39,02143,02143
Highland Ave,180,200,175,199,02143,02143
Highland Ave,202,210,201,205,02143,02143
Highland Ave,212,218,207,217,02143,02143
Benton Rd,76,98,53,99,02143,02143
Tower St,1,99,98,2,02143,02143
Crown St,32,62,nan,nan,02143,nan
Summer St,202,214,205,215,02143,02143
Porter St,60,74,nan,nan,02143,nan
Brastow Ave,2,98,1,99,02143,02143
Lowell St,nan,nan,91,99,nan,02143
Lowell Cir,98,2,99,1,02143,02143
Lowell St,80,98,75,89,02143,02143
Silvey Pl,2,98,1,99,02143,02143
Crown St,2,30,1,13,02143,02143
Lowell St,100,132,101,123,02143,02143
Belmont St,82,198,83,199,02143,02143
Belmont St,60,80,65,81,02143,02143
Summer St,196,200,197,203,02143,02143
Lowell St,134,180,125,179,02143,02143
Lowell St,56,78,53,73,02143,02143
Ibbetson St,44,98,45,99,02143,02143
Belmont St,36,58,33,63,02143,02143
Belmont St,24,34,21,31,02143,02143
Belmont St,14,22,13,19,02143,02143
Belmont St,10,12,nan,nan,02143,nan
Belmont St,2,8,1,9,02143,02143
Lowell St,2,46,1,45,02143,02143
Lowell St,48,54,47,51,02143,02143
Ibbetson St,2,42,1,43,02143,02143
Craigie St,2,12,1,13,02143,02143
Craigie St,14,20,15,19,02143,02143
Kimball St,nan,nan,3,99,nan,02143
Beacon St,288,298,279,295,02143,02143
Beacon St,300,312,297,307,02143,02143
Museum St,117,199,nan,nan,02143,nan
Beckwith Cir,298,200,1,99,02143,02143
Beckwith Cir,98,2,nan,nan,02143,nan
Beacon St,nan,nan,213,221,nan,02143
Beacon St,nan,nan,197,211,nan,02143
Beacon St,nan,nan,191,195,nan,02143
Spring St,46,98,47,99,02143,02143
Spring St,28,44,29,45,02143,02143
Mardell Cir,2,98,1,99,02143,02143
Spring St,22,26,nan,nan,02143,nan
Belmont Sq,nan,nan,1,7,nan,02143
Spring St,12,20,11,27,02143,02143
Pitman St,40,98,43,99,02143,02143
Belmont Ter,1,99,nan,nan,02143,nan
Belmont Ter,nan,nan,2,98,nan,02143
Belmont Sq,nan,nan,9,99,nan,02143
Belmont Pl,2,98,1,99,02143,02143
Summer St,184,194,183,195,02143,02143
Park St,nan,nan,39,47,nan,02143
Ivaloo St,2,22,1,23,02143,02143
Harrison St,2,22,1,29,02143,02143
Harrison St,24,98,31,99,02143,02143
Spring St,2,10,1,9,02143,02143
Village St,3,1,nan,nan,02143,nan
Central St,6,14,1,15,02143,02143
Cypress St,2,98,1,99,02143,02143
Beech St,nan,nan,15,99,nan,02143
Atherton St,2,20,1,21,02143,02143
Atherton St,22,46,23,35,02143,02143
Pitman St,2,38,1,41,02143,02143
Atherton St,48,98,37,63,02143,02143
Somerville Ave,nan,nan,567,573,nan,02143
Somerville Ave,nan,nan,575,583,nan,02143
Beacon St,nan,nan,223,251,nan,02143
Ivaloo St,36,98,39,99,02143,02143
Mondamin Ct,2,98,1,99,02143,02143
Gussie Ter,2,98,1,99,02143,02143
School St,110,128,107,143,02143,02143
Oxford St,2,54,1,51,02143,02143
Trull Ln,1,99,2,98,02143,02143
Highland Ave,96,124,95,125,02143,02143
Porter St,106,198,105,199,02143,02143
Conwell St,2,98,1,19,02143,02143
Woodbine St,99,1,98,2,02143,02143
Centre St,2,98,1,17,02143,02143
Albion St,44,90,41,85,02143,02143
Crocker St,2,98,1,99,02143,02143
Crown St,64,98,15,99,02143,02143
Central St,98,104,95,103,02143,02143
Park St,32,56,49,61,02143,02143
Park St,58,62,nan,nan,02143,nan
Morgan St,99,1,98,2,02143,02143
Ivaloo St,24,34,25,37,02143,02143
Bleachery Ct,1,99,2,98,02143,02143
Benton Rd,48,74,nan,nan,02143,nan
Gibbens St,32,98,31,99,02143,02143
Benton Rd,36,46,35,51,02143,02143
Benton Rd,16,34,nan,nan,02143,nan
Benton Rd,2,14,1,33,02143,02143
Summer St,172,182,171,181,02143,02143
Spring Hill Ter,99,1,98,2,02143,02143
Waldo St,2,98,1,99,02143,02143
Highland Ave,164,178,161,173,02143,02143
Central St,110,112,nan,nan,02143,nan
Central St,106,108,105,115,02143,02143
Centre St,nan,nan,19,99,nan,02143
Harvard St,24,98,25,99,02143,02143
Harvard Pl,2,98,1,99,02143,02143
Highland Ave,154,162,155,159,02143,02143
Central St,76,82,73,77,02143,02143
Gibbens St,2,30,1,29,02143,02143
Miner St,99,1,98,2,02145,02145
Sycamore St,32,40,nan,nan,02143,nan
Sycamore St,62,66,57,69,02145,02145
Sycamore St,54,60,49,55,02145,02145
Pembroke Ct,98,2,1,99,02145,02145
Pembroke St,2,12,1,15,02145,02145
Sycamore St,46,52,nan,nan,02143,nan
Sycamore St,42,44,33,47,02143,02143
Willoughby St,2,98,1,99,02143,02143
Central St,66,74,61,71,02143,02143
Cambria St,2,98,1,99,02143,02143
Central St,50,52,nan,nan,02143,nan
Central St,44,48,nan,nan,02143,nan
Summer St,150,170,149,169,02143,02143
Westwood Rd,99,1,98,2,02143,02143
Central St,32,42,33,49,02143,02143
Monmouth St,2,98,1,99,02143,02143
Central St,60,64,nan,nan,02143,nan
Central St,54,58,51,59,02143,02143
Berkeley St,2,38,1,39,02143,02143
School St,70,90,77,91,02143,02143
Avon St,99,1,98,2,02143,02143
Berkeley St,40,98,41,99,02143,02143
Hersey St,2,98,1,99,02143,02143
Oxford St,56,144,53,99,02143,02143
Highland Ave,136,152,137,153,02143,02143
Highland Ave,126,134,127,135,02143,02143
Central St,94,96,nan,nan,02143,nan
Central St,84,92,79,91,02143,02143
Sycamore St,2,22,1,19,02143,02143
School St,130,144,nan,nan,02143,nan
Madison St,99,1,98,2,02143,02143
School St,92,108,93,105,02143,02143
Central St,2,4,nan,nan,02143,nan
Somerville Ave,nan,nan,521,565,nan,02143
Central St,26,30,nan,nan,02143,nan
Cleveland St,2,98,1,99,02143,02143
Harvard St,14,22,13,23,02143,02143
Central St,16,24,17,31,02143,02143
Harvard St,2,12,1,11,02143,02143
School St,nan,nan,59,75,nan,02143
Summer St,68,106,69,105,02143,02143
Summer St,108,116,107,117,02143,02143
Summer St,118,124,119,125,02143,02143
Summer St,126,136,127,137,02143,02143
Summer St,138,148,139,147,02143,02143
Laurel St,34,40,31,41,02143,02143
Laurel St,28,32,25,29,02143,02143
Laurel Ave,2,98,1,99,02143,02143
Laurel St,22,26,17,23,02143,02143
Laurel St,2,20,1,15,02143,02143
Somerville Ave,504,518,nan,nan,02143,nan
Somerville Ave,nan,nan,501,519,nan,02143
Broadway,190,202,nan,nan,02145,nan
Broadway,204,214,nan,nan,02145,nan
McGrath Hwy,nan,nan,601,691,nan,02145
Cross St,30,36,nan,nan,02145,nan
Carter Ter,2,98,1,99,02143,02143
Park St,2,30,1,27,02143,02143
Allen Ct,2,98,1,99,02143,02143
Park St,nan,nan,29,37,nan,02143
Properzi Way,2,38,1,29,02143,02143
Rev Nazareno Properzi Way,2,38,1,29,02143,02143
Somerville Ave,500,502,nan,nan,02143,nan
Properzi Way,nan,nan,57,69,nan,02143
Rev Nazareno Properzi Way,nan,nan,57,69,nan,02143
Eliot St,2,98,1,99,02143,02143
Park St,64,98,63,99,02143,02143
Properzi Way,82,198,71,149,02143,02143
Rev Nazareno Properzi Way,82,198,71,149,02143,02143
Beacon St,nan,nan,169,181,nan,02143
Arnold Ct,1,99,2,98,02143,02143
Tyler St,2,98,1,99,02143,02143
Hanson St,14,24,15,21,02143,02143
Skehan St,20,98,19,99,02143,02143
Durham St,22,98,17,99,02143,02143
Beacon St,nan,nan,147,159,nan,02143
Hanson St,2,12,1,13,02143,02143
Greene St,99,17,98,14,02143,02143
Greene St,2,12,1,15,02143,02143
School St,34,50,31,47,02143,02143
Osgood St,13,1,98,2,02143,02143
Osgood St,99,15,nan,nan,02143,nan
Laurel Ter,2,98,1,99,02143,02143
Preston Rd,2,98,1,99,02143,02143
Prescott St,2,98,1,99,02143,02143
Summer St,52,66,51,67,02143,02143
Highland Ave,84,94,79,93,02143,02143
Dane St,2,30,1,29,02143,02143
Tyler Ct,1,99,2,98,02143,02143
Tower Ct,2,98,1,99,02143,02143
Somerville Ave,nan,nan,483,499,nan,02143
Somerville Ave,462,498,463,481,02143,02143
Granite St,14,98,11,99,02143,02143
Granite St,2,12,1,9,02143,02143
Loring St,2,98,1,99,02143,02143
Leland St,2,98,1,99,02143,02143
Washington St,346,360,351,359,02143,02143
Washington St,362,370,361,367,02143,02143
Dane St,54,98,51,99,02143,02143
Dane St,46,52,43,49,02143,02143
Dane Ave,99,13,46,2,02143,02143
Dane Ave,nan,nan,98,50,nan,02143
Washington St,300,306,289,307,02143,02143
Washington St,308,316,309,317,02143,02143
Washington St,318,326,319,327,02143,02143
Washington St,328,344,329,339,02143,02143
Washington St,nan,nan,341,349,nan,02143
Dane St,32,44,31,41,02143,02143
Nevada Ave,99,1,98,2,02143,02143
Knapp St,99,1,98,2,02143,02143
School St,2,12,1,13,02143,02143
Somerville Ave,400,460,435,461,02143,02143
Skehan St,2,18,1,17,02143,02143
Newton St,1,3,nan,nan,02143,nan
Clark St,99,1,98,2,02143,02143
Lincoln Pkwy,2,14,1,99,02143,02143
Lincoln Pkwy,16,98,nan,nan,02143,nan
Perry St,99,45,nan,nan,02143,nan
Perry St,43,1,98,2,02143,02143
Bowdoin St,17,1,16,2,02143,02143
Bowdoin St,99,19,98,18,02143,02143
Fremont Ave,2,98,1,9,02143,02143
Fremont Ave,nan,nan,11,99,nan,02143
Parker St,99,1,98,2,02143,02143
Hawkins St,2,98,11,99,02143,02143
Washington St,nan,nan,285,287,nan,02143
Somerville Ave,nan,nan,413,423,nan,02143
Somerville Ave,nan,nan,391,411,nan,02143
Church St,nan,nan,1,29,nan,02143
Lake St,nan,nan,41,99,nan,02143
Lake St,12,98,1,39,02143,02143
Olive Sq,99,1,98,2,02143,02143
Lake St,2,10,nan,nan,02143,nan
Quincy St,2,98,1,99,02143,02143
School St,14,32,15,29,02143,02143
School St,52,68,49,57,02143,02143
Otis St,2,48,1,41,02145,02145
Bonair St,36,40,nan,nan,02145,nan
Bonair St,20,34,21,41,02145,02145
Bonair St,2,18,15,19,02145,02145
Bonair St,nan,nan,1,13,nan,02145
Cross St,38,40,31,49,02145,02145
Everett Ave,20,98,19,99,02145,02145
Macarthur St,2,98,1,99,02145,02145
Autumn St,2,6,1,5,02145,02145
Autumn St,8,98,7,99,02145,02145
Rush St,26,60,nan,nan,02145,nan
Ellsworth St,2,98,1,99,02145,02145
Brook St,12,98,11,99,02145,02145
Glen St,34,36,29,39,02145,02145
Glen St,38,64,41,65,02145,02145
Glen St,66,84,nan,nan,02145,nan
Pearl St,100,114,nan,nan,02145,nan
Brook St,2,10,1,9,02145,02145
Broadway,184,188,nan,nan,02145,nan
Blakeley Ave,40,66,nan,nan,02145,nan
Cross St,2,14,1,15,02145,02145
Cross Street Pl,2,98,1,99,02145,02145
Louisburg Pl,2,98,1,99,02145,02145
Broadway,168,182,nan,nan,02145,nan
Glen St,2,32,1,27,02145,02145
Rush St,2,24,1,25,02145,02145
Broadway,122,146,nan,nan,02145,nan
Franklin St,26,38,25,35,02145,02145
Webster St,16,98,15,99,02145,02145
Webster St,2,14,1,13,02145,02145
Broadway,148,166,nan,nan,02145,nan
Cross St,16,28,17,29,02145,02145
Cross St E,38,98,nan,nan,02145,nan
Cross St E,nan,nan,37,99,nan,02145
Blakeley Ave,2,38,1,99,02145,02145
Pennsylvania Ave,100,198,117,199,02145,02145
Pennsylvania Ave,nan,nan,101,115,nan,02145
Connecticut Ave,2,98,1,99,02145,02145
Rhode Island Ave,2,98,1,99,02145,02145
Pennsylvania Ave,nan,nan,85,99,nan,02145
Cutter St,2,12,1,11,02145,02145
Cutter St,14,22,13,19,02145,02145
Cutter St,nan,nan,21,25,nan,02145
Cutter St,24,34,27,33,02145,02145
Cutter St,36,98,35,99,02145,02145
Bishop Pl,2,98,1,99,02145,02145
Broadway,102,120,nan,nan,02145,nan
Franklin St,50,52,nan,nan,02145,nan
Franklin St,54,60,53,59,02145,02145
Oliver St,2,12,1,15,02145,02145
Oliver St,nan,nan,17,25,nan,02145
Palmer Ave,1,99,2,98,02145,02145
Franklin St,70,76,nan,nan,02145,nan
Franklin St,78,98,81,93,02145,02145
Hadley Ct,2,98,1,99,02145,02145
Knowlton St,16,98,29,99,02145,02145
Knowlton St,nan,nan,19,27,nan,02145
Morton St,2,98,1,99,02145,02145
Glen St,136,156,143,199,02145,02145
Reeds Ct,99,1,2,98,02145,02145
Franklin St,62,68,61,79,02145,02145
Washington St,nan,nan,101,129,nan,02143
Linwood St,2,98,1,99,02143,02143
Fitchburg St,nan,nan,1,99,nan,02143
Chestnut St,99,1,98,2,02143,02143
Joy St,99,1,98,2,02143,02143
Glen St,158,198,nan,nan,02145,nan
Knowlton St,2,14,1,17,02145,02145
Perkins St,134,198,143,199,02145,02145
Myrtle St,72,98,71,99,02145,02145
Pearl St,62,70,53,69,02145,02145
Franklin St,20,24,15,23,02145,02145
Myrtle St,54,70,43,69,02145,02145
Franklin Pl,2,98,1,99,02145,02145
Franklin St,2,10,1,13,02145,02145
Franklin St,12,18,nan,nan,02145,nan
Remick Ct,2,98,1,99,02145,02145
Broadway,88,100,nan,nan,02145,nan
Florence St,54,98,49,99,02145,02145
Pearl St,48,60,nan,nan,02145,nan
Perkins St,124,132,127,141,02145,02145
Florence St,30,52,29,47,02145,02145
Myrtle Ct,1,99,2,98,02145,02145
Myrtle St,34,52,31,41,02145,02145
Washington St,2,30,21,57,02143,02143
Inner Belt Rd,2,38,1,31,02143,02143
Washington St,nan,nan,81,99,nan,02143
Franklin St,100,198,95,199,02145,02145
Franklin Ave,2,98,1,199,02145,02145
New Washington St,98,26,nan,nan,02143,nan
Washington St,84,104,65,79,02143,02143
Washington St,62,82,nan,nan,02143,nan
Washington St,32,60,59,63,02143,02143
1st Ave,2,98,1,99,02143,02143
Murdock St,14,98,17,99,02145,02145
N Union St,2,98,1,99,02145,02145
Mystic Ave,62,180,101,199,02145,02145
Mystic Ave,182,188,nan,nan,02145,nan
Vermont Ave,2,98,99,1,02145,02145
New Hampshire Ave,2,98,99,1,02145,02145
Pennsylvania Ave,nan,nan,67,83,nan,02145
Maine Ter,2,98,1,99,02145,02145
Maine Ave,2,98,1,99,02145,02145
Pennsylvania Ave,nan,nan,53,65,nan,02145
Pennsylvania Ave,nan,nan,49,51,nan,02145
Lincoln St,24,98,15,99,02145,02145
Perkins St,118,122,121,125,02145,02145
Arlington St,18,98,15,99,02145,02145
Arlington St,2,16,1,13,02145,02145
Broadway,70,76,nan,nan,02145,nan
Broadway,78,86,nan,nan,02145,nan
Hathorn St,2,98,1,99,02145,02145
Mystic Ave,40,52,35,99,02145,02145
Broadway,10,28,nan,nan,02145,nan
Benedict St,2,22,1,99,02145,02145
Austin St,10,98,9,99,02145,02145
Broadway,64,68,nan,nan,02145,nan
Lincoln St,2,16,1,13,02145,02145
Lincoln St,18,22,nan,nan,02145,nan
Broadway Pl,2,98,1,99,02145,02145
George St,1,9,2,98,02145,02145
George St,13,99,nan,nan,02145,nan
Lincoln Ave,16,26,11,23,02145,02145
Lincoln Pl,2,98,1,99,02145,02145
Lincoln Ave,28,98,25,99,02145,02145
Broadway,46,62,nan,nan,02145,nan
Mystic Ave,2,38,1,33,02145,02145
Benedict St,24,98,nan,nan,02145,nan
Beacon St,nan,nan,183,189,nan,02143
Beacon St,100,104,101,103,02143,02143
Smith Ave,2,98,1,99,02143,02143
Line St,2,42,1,99,02143,02138
Washington St,408,498,415,499,02143,02143
Beacon St,106,198,105,145,02143,02143
Line St,44,50,nan,nan,02143,nan
Hanson St,44,98,47,99,02143,02143
Washington St,388,406,389,413,02143,02143
Durham St,2,20,1,15,02143,02143
Hanson St,26,42,23,45,02143,02143
Line St,52,56,nan,nan,02143,nan
Calvin St,34,98,35,99,02143,02143
Beacon St,90,98,91,99,02143,02143
Beacon Pl,2,98,1,199,02143,02143
Caldwell Ave,99,1,98,2,02143,02143
Washington St,372,386,369,387,02143,02143
Calvin St,2,32,1,33,02143,02143
Beacon St,66,78,67,75,02143,02143
Cooney St,99,1,2,98,02143,02143
Line St,64,68,nan,nan,02143,nan
Beacon St,80,88,77,89,02143,02143
Hanson Ave,98,2,1,99,02143,02143
Waldo Ave,99,1,98,2,02143,02143
Dimick St,56,98,53,99,02143,02143
Rose St,99,1,98,2,02143,02143
Lewis St,nan,nan,1,17,nan,02143
Magnus Ave,41,1,98,2,02143,02143
Marion St,50,76,53,73,02143,02143
Marion St,78,198,75,199,02143,02143
Magnus Ave,99,43,nan,nan,02143,nan
Lewis St,2,98,19,33,02143,02143
Lewis St,nan,nan,35,99,nan,02143
Line St,86,198,133,189,02143,02139
Beacon St,28,64,25,65,02143,02143
Beacon St,2,26,1,23,02143,02143
Buckingham St,2,98,1,99,02143,02143
Dimick St,32,54,37,51,02143,02143
Harold St,2,98,1,99,02143,02143
Dimick St,16,30,25,35,02143,02143
Concord Ave,nan,nan,97,99,nan,02143
Concord Ave,98,198,101,199,02143,02143
Dimick St,2,14,1,23,02143,02143
Hammond St,99,1,98,2,02143,02143
Dickinson St,40,98,45,99,02143,02143
Mount Pleasant St,2,98,1,99,02145,02145
Perkins St,4,84,69,85,02145,02145
Mount Vernon St,22,32,25,39,02145,02145
Mount Vernon St,2,20,1,23,02145,02145
Perkins St,86,96,87,99,02145,02145
Perkins St,98,108,101,107,02145,02145
Perkins St,110,116,109,119,02145,02145
Lincoln Ave,2,14,1,9,02145,02145
Pinckney St,58,98,57,99,02145,02145
Pinckney St,42,56,43,55,02145,02145
Pearl St,38,46,39,51,02145,02145
Pinckney St,32,40,31,41,02145,02145
Pinckney St,2,30,1,29,02145,02145
Florence St,2,28,1,27,02145,02145
Mount Vernon St,54,60,59,65,02145,02145
Wheeler St,2,98,1,99,02145,02145
Pinckney Pl,2,98,99,1,02145,02145
Mount Vernon St,34,52,41,57,02145,02145
Perkins St,nan,nan,1,67,nan,02145
Mount Pleasant Ct,98,2,1,99,02145,02145
Mount Vernon St,100,198,83,199,02145,02145
Mount Vernon St,64,98,67,81,02145,02145
Inner Belt Rd,nan,nan,33,99,nan,02143
Poplar St,nan,nan,33,99,nan,02143
Linwood St,100,198,101,199,02143,02143
Medford St,2,16,nan,nan,02143,nan
Medford St,18,46,nan,nan,02143,nan
Medford St,48,98,nan,nan,02143,nan
Ward St,5,13,1,3,02143,02143
Ward St,nan,nan,2,20,nan,02143
South St,nan,nan,1,31,nan,02143
3rd Ave,1,99,2,64,02143,02143
Tennyson St,2,22,1,15,02145,02145
Pembroke St,18,98,17,99,02145,02145
Central St,114,124,121,123,02145,02145
Lee St,2,98,1,99,02145,02145
Richdale Ave,48,98,45,99,02145,02145
Sycamore St,68,86,71,99,02145,02145
Sycamore St,122,130,117,131,02145,02145
Medford St,408,420,413,421,02145,02145
Forster St,2,16,1,11,02145,02145
Pembroke St,14,16,nan,nan,02145,nan
Jerome St,2,98,1,99,02143,02143
Montrose St,48,50,47,99,02143,02143
Montrose St,54,98,nan,nan,02143,nan
Jerome Ct,2,98,1,99,02143,02143
Richdale Ave,34,46,35,43,02145,02145
Richdale Ave,22,24,nan,nan,02145,nan
Richdale Ave,28,32,nan,nan,02145,nan
Richdale Ave,2,20,1,33,02145,02145
Montrose St,2,26,1,33,02143,02143
Montrose Ct,2,98,1,99,02143,02143
Montrose St,28,46,35,45,02143,02143
School St,146,162,nan,nan,02143,nan
Thurston St,2,12,1,11,02145,02145
Highland Ave,28,64,nan,nan,02143,nan
Highland Ave,66,74,nan,nan,02143,nan
Highland Ave,76,82,nan,nan,02143,nan
Medford St,nan,nan,301,325,nan,02143
Marshall St,90,98,85,99,02145,02145
Medford St,300,360,327,363,02145,02145
Stickney Ave,99,1,98,2,02145,02145
Summer St,44,50,39,49,02143,02143
Church St,2,98,31,99,02143,02143
Essex St,2,98,1,99,02145,02145
School St,170,178,nan,nan,02145,nan
Walnut St,100,110,101,113,02145,02145
Pearl St,240,298,243,299,02145,02145
Skilton Ave,2,98,1,99,02145,02145
Pearl St,214,224,215,223,02145,02145
Bow St,38,48,39,49,02143,02143
Bow Street Pl,2,98,1,99,02143,02143
Bow St,58,98,55,99,02143,02143
Summer St,36,42,19,37,02143,02143
Summer St,nan,nan,2,4,nan,02143
Summer St,12,34,nan,nan,02143,nan
Summer St,6,10,1,17,02143,02143
Carlton St,99,1,98,2,02143,02143
Somerville Ave,378,398,377,389,02143,02143
Bow St,2,4,1,5,02143,02143
Somerville Ave,322,376,295,367,02143,02143
Somerville Ave,nan,nan,369,375,nan,02143
Bow St,6,36,19,29,02143,02143
Bow St,nan,nan,7,17,nan,02143
Putnam St,36,98,33,99,02143,02143
Putnam St,2,34,1,31,02143,02143
Vinal Ave,60,98,57,99,02143,02143
Vinal Ave,50,58,49,55,02143,02143
Vinal Ave,40,48,39,47,02143,02143
Vinal Ave,30,38,25,37,02143,02143
Vinal Ave,2,28,1,23,02143,02143
Lawson Ter,99,1,98,2,02143,02143
Walnut St,44,48,nan,nan,02143,nan
Walnut St,38,42,39,51,02143,02143
Aldersey St,2,98,1,99,02143,02143
Summit Ave,2,98,1,99,02143,02143
Munroe St,nan,nan,37,51,nan,02143
Columbus Ave,50,58,53,59,02143,02143
