address,street,num,school,range_low,range_high,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio Address Line 4","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State / Province","Geocodio Nation","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Building Name","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"199 Bartlett Street, Somerville MA","Bartlett Street",199,"WINTER HILL",1,199,42.395591,-71.100382,0.82,nearest_rooftop_match,"119 Bartlett St",,"Somerville, MA 02145",,119,"Bartlett St",,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn5v4kr9gwjrff6updmjbz4c5q89,building_centroid
"1 Berwick Street, Somerville MA","Berwick Street",1,"WINTER HILL",1,99,42.394992,-71.106917,0.91,nearest_rooftop_match,"2 Berwick St",,"Somerville, MA 02145",,2,"Berwick St",,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnb3hf99qk49nj8uzhdnrav43t8f,building_centroid
"26 Berwick Street, Somerville MA","Berwick Street",26,"WINTER HILL",1,99,42.395219,-71.106787,1,range_interpolation,"26 Berwick St",,"Somerville, MA 02145",,26,"Berwick St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usnb3hf99qk49nj8k8l6sakcrtft5,
"50 Berwick Street, Somerville MA","Berwick Street",50,"WINTER HILL",1,99,42.395289,-71.106909,1,range_interpolation,"50 Berwick St",,"Somerville, MA 02145",,50,"Berwick St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usnb3hf99qk49nj8y9gh82y5rzuv4,
"74 Berwick Street, Somerville MA","Berwick Street",74,"WINTER HILL",1,99,42.39536,-71.107032,1,range_interpolation,"74 Berwick St",,"Somerville, MA 02145",,74,"Berwick St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usnb3hf99qk49nj8qv3qmd9qn3tyb,
"99 Berwick Street, Somerville MA","Berwick Street",99,"WINTER HILL",1,99,42.453794,-71.069063,0.85,range_interpolation,"99 Berwick St",,"Melrose, MA 02176",,99,"Berwick St",,,Melrose,MA,,"Middlesex County",02176,US,,"TIGER/Line® from the US Census Bureau",gcod_usnplpnjwsx663yd8aesla9b2z3xa,
"1 Bradford Avenue, Somerville MA","Bradford Avenue",1,"WINTER HILL",1,99,42.392286,-71.094555,0.91,nearest_rooftop_match,"5 Bradford Ave",,"Somerville, MA 02145",,5,"Bradford Ave",,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn7252a4k25tg5a7dgcsp79uhmp8,building_centroid
"26 Bradford Avenue, Somerville MA","Bradford Avenue",26,"WINTER HILL",1,99,42.392368,-71.094801,1,range_interpolation,"26 Bradford Ave",,"Somerville, MA 02145",,26,"Bradford Ave",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usn7252a4k25tg5ajz59mrrr3cmsh,
"50 Bradford Avenue, Somerville MA","Bradford Avenue",50,"WINTER HILL",1,99,42.392322,-71.094673,1,range_interpolation,"50 Bradford Ave",,"Somerville, MA 02145",,50,"Bradford Ave",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usn7252a4k25tg5asem8mpeylwwb5,
"74 Bradford Avenue, Somerville MA","Bradford Avenue",74,"WINTER HILL",1,99,42.392276,-71.094544,1,range_interpolation,"74 Bradford Ave",,"Somerville, MA 02145",,74,"Bradford Ave",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usn7252a4k25tg5anz2xdcjht8765,
