address,street,num,school
"7 Harvard Street, Somerville MA",Harvard Street,7,KENNEDY
"24 Harvard Street, Somerville MA",Harvard Street,24,KENNEDY
"40 Harvard Street, Somerville MA",Harvard Street,40,KENNEDY
"5 Meacham Road, Somerville MA",Meacham Road,5,WEST SOMERVILLE
"34 Meacham Road, Somerville MA",Meacham Road,34,WEST SOMERVILLE
"64 Meacham Road, Somerville MA",Meacham Road,64,WEST SOMERVILLE
"4 Evergreen Square, Somerville MA",Evergreen Square,4,KENNEDY
"16 Evergreen Square, Somerville MA",Evergreen Square,16,KENNEDY
"2 Chester Street, Somerville MA",Chester Street,2,KENNEDY
"26 Chester Street, Somerville MA",Chester Street,26,KENNEDY
"51 Chester Street, Somerville MA",Chester Street,51,KENNEDY
"9 Linden Place, Somerville MA",Linden Place,9,KENNEDY
"12 Linden Place, Somerville MA",Linden Place,12,KENNEDY
"8 Harrison Road, Somerville MA",Harrison Road,8,WEST SOMERVILLE
"15 Harrison Road, Somerville MA",Harrison Road,15,WEST SOMERVILLE
"12 Beacon Terrace, Somerville MA",Beacon Terrace,12,KENNEDY
