address,street,school
"Sawyer Avenue, Somerville MA 02144",Sawyer Avenue,WEST SOMERVILLE
"Simpson Avenue, Somerville MA 02144",Simpson Avenue,WEST SOMERVILLE
"Summit Street, Somerville MA 02144",Summit Street,WEST SOMERVILLE
"Sunset Road, Somerville MA 02144",Sunset Road,WEST SOMERVILLE
"Talbot Avenue, Somerville MA 02144",Talbot Avenue,WEST SOMERVILLE
"Tannery Brook Row, Somerville MA 02144",Tannery Brook Row,WEST SOMERVILLE
"Teele Avenue, Somerville MA 02144",Teele Avenue,WEST SOMERVILLE
"Thorndike Street, Somerville MA 02144",Thorndike Street,WEST SOMERVILLE
"Upland Road, Somerville MA 02144",Upland Road,WEST SOMERVILLE
"Victoria Street, Somerville MA 02144",Victoria Street,WEST SOMERVILLE
"Walker Street, Somerville MA 02144",Walker Street,WEST SOMERVILLE
"Wallace Street, Somerville MA 02144",Wallace Street,WEST SOMERVILLE
"Ware Street, Somerville MA 02144",Ware Street,WEST SOMERVILLE
"Warner Street, Somerville MA 02144",Warner Street,WEST SOMERVILLE
"Waterhouse Street, Somerville MA 02144",Waterhouse Street,WEST SOMERVILLE
"Watson Street, Somerville MA 02144",Watson Street,WEST SOMERVILLE
"West Adams Street, Somerville MA 02144",West Adams Street,WEST SOMERVILLE
"West Quincy Street, Somerville MA 02144",West Quincy Street,WEST SOMERVILLE
"Westminster Street, Somerville MA 02144",Westminster Street,WEST SOMERVILLE
"Weston Avenue, Somerville MA 02144",Weston Avenue,WEST SOMERVILLE
"Whitfield Road, Somerville MA 02144",Whitfield Road,WEST SOMERVILLE
"Whitman Street, Somerville MA 02144",Whitman Street,WEST SOMERVILLE
"William Street, Somerville MA 02144",William Street,WEST SOMERVILLE
"Winter Street, Somerville MA 02144",Winter Street,WEST SOMERVILLE
"Woods Avenue, Somerville MA 02144",Woods Avenue,WEST SOMERVILLE
"Woodstock Street, Somerville MA 02144",Woodstock Street,WEST SOMERVILLE
"Yorktown Street, Somerville MA 02144",Yorktown Street,WEST SOMERVILLE
"Aberdeen Road, Somerville MA 02144",Aberdeen Road,KENNEDY
"Acadia Park, Somerville MA 02144",Acadia Park,KENNEDY
"Adelaide Road, Somerville MA 02144",Adelaide Road,KENNEDY
"Arnold Avenue, Somerville MA 02144",Arnold Avenue,KENNEDY
"Ashland Street, Somerville MA 02144",Ashland Street,KENNEDY
"Atherton Street, Somerville MA 02144",Atherton Street,KENNEDY
"Banks Street, Somerville MA 02145",Banks Street,KENNEDY
"Beacon Street 236-End, Somerville MA 02144",Beacon Street 236-End,KENNEDY
"Beacon Terrace, Somerville MA 02144",Beacon Terrace,KENNEDY
"Beckwith Circle, Somerville MA 02144",Beckwith Circle,KENNEDY
"Belmont Place, Somerville MA 02144",Belmont Place,KENNEDY
"Belmont Square, Somerville MA 02144",Belmont Square,KENNEDY
"Belmont Street, Somerville MA 02144",Belmont Street,KENNEDY
"Belmont Terrace, Somerville MA 02144",Belmont Terrace,KENNEDY
"Benton Road 1-54, Somerville MA 02144",Benton Road 1-54,KENNEDY
"Bowers Avenue, Somerville MA 02144",Bowers Avenue,KENNEDY
"Brastow Avenue, Somerville MA 02144",Brastow Avenue,KENNEDY
"Burnside Avenue, Somerville MA 02145",Burnside Avenue,KENNEDY
"Carver Street, Somerville MA 02144",Carver Street,KENNEDY
"Cedar Avenue, Somerville MA 02144",Cedar Avenue,KENNEDY
"Cedar Street 1-105, Somerville MA 02144",Cedar Street 1-105,KENNEDY
"Cedar Street Place, Somerville MA 02144",Cedar Street Place,KENNEDY
"Central Street 1-82, Somerville MA 02145",Central Street 1-82,KENNEDY
"Charnwood Road, Somerville MA 02144",Charnwood Road,KENNEDY
"Cherry Street, Somerville MA 02144",Cherry Street,KENNEDY
"Chester Place, Somerville MA 02144",Chester Place,KENNEDY
"Chester Street, Somerville MA 02144",Chester Street,KENNEDY
"Conwell Street, Somerville MA 02144",Conwell Street,KENNEDY
"Cottage Avenue, Somerville MA 02144",Cottage Avenue,KENNEDY
"Cottage Circle, Somerville MA 02144",Cottage Circle,KENNEDY
"Craigie Street, Somerville MA 02144",Craigie Street,KENNEDY
"Craigie Terrace, Somerville MA 02144",Craigie Terrace,KENNEDY
"Crocker Street, Somerville MA 02144",Crocker Street,KENNEDY
"Crown Street, Somerville MA 02145",Crown Street,KENNEDY
"Cutler Avenue, Somerville MA 02144",Cutler Avenue,KENNEDY
"Cutter Avenue, Somerville MA 02144",Cutter Avenue,KENNEDY
"Cutter Park, Somerville MA 02144",Cutter Park,KENNEDY
"Dresden Circle, Somerville MA 02144",Dresden Circle,KENNEDY
"Eastman Road, Somerville MA 02144",Eastman Road,KENNEDY
"Elm Place, Somerville MA 02144",Elm Place,KENNEDY
"Elm Street, Somerville MA 02144",Elm Street,KENNEDY
"Elston Street, Somerville MA 02144",Elston Street,KENNEDY
"Eustis Street, Somerville MA 02145",Eustis Street,KENNEDY
"Evergreen Square, Somerville MA 02144",Evergreen Square,KENNEDY
"Fairlee Street, Somerville MA 02144",Fairlee Street,KENNEDY
"Forest Street, Somerville MA 02144",Forest Street,KENNEDY
"Francis Street, Somerville MA 02144",Francis Street,KENNEDY
"Garden Court, Somerville MA 02144",Garden Court,KENNEDY
"Gilson Terrace, Somerville MA 02144",Gilson Terrace,KENNEDY
"Gould Avenue, Somerville MA 02144",Gould Avenue,KENNEDY
"Greenwood Terrace, Somerville MA 02144",Greenwood Terrace,KENNEDY
"Gussie Terrace, Somerville MA 02144",Gussie Terrace,KENNEDY
"Hall Street, Somerville MA 02144",Hall Street,KENNEDY
"Harvard Place, Somerville MA 02144",Harvard Place,KENNEDY
"Harvard Street, Somerville MA 02144",Harvard Street,KENNEDY
"Hawthorne Street, Somerville MA 02144",Hawthorne Street,KENNEDY
"Hayden Terrace, Somerville MA 02144",Hayden Terrace,KENNEDY
"Henry Avenue, Somerville MA 02144",Henry Avenue,KENNEDY
"Highland Avenue 182-402 even, Somerville MA 02144",Highland Avenue 182-402 even,KENNEDY
"Hillside Circle, Somerville MA 02144",Hillside Circle,KENNEDY
"Holyoke Road, Somerville MA 02144",Holyoke Road,KENNEDY
"Hudson Street 93-End, Somerville MA 02144",Hudson Street 93-End,KENNEDY
"Ibbetson Street, Somerville MA 02144",Ibbetson Street,KENNEDY
"Kent Court, Somerville MA 02144",Kent Court,KENNEDY
"Kent Street, Somerville MA 02144",Kent Street,KENNEDY
"Kimball Street, Somerville MA 02144",Kimball Street,KENNEDY
"Lesley Avenue, Somerville MA 02144",Lesley Avenue,KENNEDY
"Lexington Avenue, Somerville MA 02144",Lexington Avenue,KENNEDY
"Linden Avenue, Somerville MA 02144",Linden Avenue,KENNEDY
"Linden Circle, Somerville MA 02144",Linden Circle,KENNEDY
"Linden Place, Somerville MA 02144",Linden Place,KENNEDY
"Lowell Circle, Somerville MA 02144",Lowell Circle,KENNEDY
"Lowell Street 1-207, Somerville MA 02144",Lowell Street 1-207,KENNEDY
"Mardell Circle, Somerville MA 02144",Mardell Circle,KENNEDY
"Miller Street, Somerville MA 02144",Miller Street,KENNEDY
"Mossland Street, Somerville MA 02144",Mossland Street,KENNEDY
"Mountain Avenue, Somerville MA 02144",Mountain Avenue,KENNEDY
"Museum Street, Somerville MA 02144",Museum Street,KENNEDY
"Oak Terrace, Somerville MA 02144",Oak Terrace,KENNEDY
"Olive Avenue, Somerville MA 02144",Olive Avenue,KENNEDY
"Orchard Street, Somerville MA 02144",Orchard Street,KENNEDY
"Parker Place, Somerville MA 02144",Parker Place,KENNEDY
"Porter Avenue, Somerville MA 02144",Porter Avenue,KENNEDY
"Porter Street, Somerville MA 02144",Porter Street,KENNEDY
"Prentiss Street, Somerville MA 02144",Prentiss Street,KENNEDY
"Roseland Street, Somerville MA 02144",Roseland Street,KENNEDY
"Russell Street, Somerville MA 02144",Russell Street,KENNEDY
"Sacramento Street, Somerville MA 02144",Sacramento Street,KENNEDY
"Sartwell Avenue, Somerville MA 02144",Sartwell Avenue,KENNEDY
"Silvey Place, Somerville MA 02144",Silvey Place,KENNEDY
"Somerville Avenue 583-End, Somerville MA 02144",Somerville Avenue 583-End,KENNEDY
"Spencer Avenue, Somerville MA 02144",Spencer Avenue,KENNEDY
"Spring Hill Terrace, Somerville MA 02144",Spring Hill Terrace,KENNEDY
"Spring Street, Somerville MA 02144",Spring Street,KENNEDY
"St. James Avenue, Somerville MA 02144",St. James Avenue,KENNEDY
"Stanford Terrace, Somerville MA 02144",Stanford Terrace,KENNEDY
"Steeves Circle, Somerville MA 02144",Steeves Circle,KENNEDY
"Summer Street 172-End, Somerville MA 02144",Summer Street 172-End,KENNEDY
"Tower Street, Somerville MA 02144",Tower Street,KENNEDY
"Wade Court, Somerville MA 02144",Wade Court,KENNEDY
"West Street, Somerville MA 02144",West Street,KENNEDY
"Whipple Street, Somerville MA 02144",Whipple Street,KENNEDY
"White Street, Somerville MA 02144",White Street,KENNEDY
"White Street Place, Somerville MA 02144",White Street Place,KENNEDY
"Williams Court, Somerville MA 02144",Williams Court,KENNEDY
"Willow Avenue 1-111, Somerville MA 02144",Willow Avenue 1-111,KENNEDY
"Windom Street, Somerville MA 02144",Windom Street,KENNEDY
"Windsor Road, Somerville MA 02144",Windsor Road,KENNEDY
