address,street,num,school,range_low,range_high,Geocodio Latitude,Geocodio Longitude,Geocodio Accuracy Score,Geocodio Accuracy Type,Geocodio Address Line 1,Geocodio Address Line 2,Geocodio Address Line 3,Geocodio Address Line 4,Geocodio House Number,Geocodio Street,Geocodio Unit Type,Geocodio Unit Number,Geocodio City,Geocodio State / Province,Geocodio Nation,Geocodio County,Geocodio Postal Code,Geocodio Country,Geocodio Building Name,Geocodio Source,Geocodio Stable Address Key,Geocodio Match Type
"74 Barton Street, Somerville MA",Barton Street,74,WEST SOMERVILLE,1,99,42.406212,-71.130045,1,range_interpolation,74 Barton St,,"Somerville, MA 02144",,74,Barton St,,,Somerville,MA,,Middlesex County,02144,US,,TIGER/Line® from the US Census Bureau,gcod_usnq8u87fqmx7wn8rek3gtca8jnyf,
"99 Barton Street, Somerville MA",Barton Street,99,WEST SOMERVILLE,1,99,42.406401,-71.129881,0.84,nearest_rooftop_match,35 Barton St,,"Somerville, MA 02144",,35,Barton St,,,Somerville,MA,,Middlesex County,02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnq8u87fqmx7wn8kutre2fp7dbx2,building_centroid
"1 Belknap Street, Somerville MA",Belknap Street,1,WEST SOMERVILLE,1,99,42.405463,-71.129672,0.89,nearest_rooftop_match,11 Belknap St,,"Somerville, MA 02144",,11,Belknap St,,,Somerville,MA,,Middlesex County,02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn2lpjqnhqmskx4dhqfqpeksysr3,building_centroid
"26 Belknap Street, Somerville MA",Belknap Street,26,WEST SOMERVILLE,1,99,42.405895,-71.129849,1,rooftop,26 Belknap St,,"Somerville, MA 02144",,26,Belknap St,,,Somerville,MA,,Middlesex County,02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn2lpjqnhqmskx4jh7jdke5rqeeh,building_centroid
"50 Belknap Street, Somerville MA",Belknap Street,50,WEST SOMERVILLE,1,99,42.405632,-71.129613,1,range_interpolation,50 Belknap St,,"Somerville, MA 02144",,50,Belknap St,,,Somerville,MA,,Middlesex County,02144,US,,TIGER/Line® from the US Census Bureau,gcod_usn2lpjqnhqmskx4vbb9tum985r8g,
"74 Belknap Street, Somerville MA",Belknap Street,74,WEST SOMERVILLE,1,99,42.405934,-71.129406,1,range_interpolation,74 Belknap St,,"Somerville, MA 02144",,74,Belknap St,,,Somerville,MA,,Middlesex County,02144,US,,TIGER/Line® from the US Census Bureau,gcod_usn2lpjqnhqmskx4lt8e85uwtgfv5,
"99 Belknap Street, Somerville MA",Belknap Street,99,WEST SOMERVILLE,1,99,42.406162,-71.129191,0.85,nearest_rooftop_match,43 Belknap St,,"Somerville, MA 02144",,43,Belknap St,,,Somerville,MA,,Middlesex County,02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn2lpjqnhqmskx49q5fmbpjj2lcb,building_centroid
"1 Billingham Street, Somerville MA",Billingham Street,1,WEST SOMERVILLE,1,99,42.399612,-71.119972,0.91,nearest_rooftop_match,5 Billingham St,,"Somerville, MA 02144",,5,Billingham St,,,Somerville,MA,,Middlesex County,02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnrqdymhl7g8eh2uhtddmynyx4g7,building_centroid
"26 Billingham Street, Somerville MA",Billingham Street,26,WEST SOMERVILLE,1,99,42.400394,-71.119717,1,rooftop,26 Billingham St,,"Somerville, MA 02144",,26,Billingham St,,,Somerville,MA,,Middlesex County,02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnrqdymhl7g8eh2ytvwmcaxpkxk9,building_centroid
"50 Billingham Street, Somerville MA",Billingham Street,50,WEST SOMERVILLE,1,99,42.400466,-71.119132,1,range_interpolation,50 Billingham St,,"Somerville, MA 02144",,50,Billingham St,,,Somerville,MA,,Middlesex County,02144,US,,TIGER/Line® from the US Census Bureau,gcod_usnrqdymhl7g8eh2zhbrgz8amshhf,
"74 Billingham Street, Somerville MA",Billingham Street,74,WEST SOMERVILLE,1,99,42.400578,-71.119024,1,range_interpolation,74 Billingham St,,"Somerville, MA 02144",,74,Billingham St,,,Somerville,MA,,Middlesex County,02144,US,,TIGER/Line® from the US Census Bureau,gcod_usnrqdymhl7g8eh27szkuthabtntf,
"99 Billingham Street, Somerville MA",Billingham Street,99,WEST SOMERVILLE,1,99,42.40053,-71.119074,0.84,nearest_rooftop_match,33 Billingham St,,"Somerville, MA 02144",,33,Billingham St,,,Somerville,MA,,Middlesex County,02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnrqdymhl7g8eh274y57x95xy7be,building_centroid
"1 Bromfield Road, Somerville MA",Bromfield Road,1,WEST SOMERVILLE,1,199,42.401961,-71.115966,0.89,nearest_rooftop_match,11 Bromfield Rd,,"Somerville, MA 02144",,11,Bromfield Rd,,,Somerville,MA,,Middlesex County,02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn53gy5kayfs9qd4g7g7d4xxu8pg,building_centroid
"34 Bromfield Road, Somerville MA",Bromfield Road,34,WEST SOMERVILLE,1,199,42.40254,-71.116427,1,rooftop,34 Bromfield Rd,,"Somerville, MA 02144",,34,Bromfield Rd,,,Somerville,MA,,Middlesex County,02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn53gy5kayfs9qd7nys4l9yrk8e3,building_centroid
"67 Bromfield Road, Somerville MA",Bromfield Road,67,WEST SOMERVILLE,1,199,42.402552,-71.116328,1,range_interpolation,67 Bromfield Rd,,"Somerville, MA 02144",,67,Bromfield Rd,,,Somerville,MA,,Middlesex County,02144,US,,TIGER/Line® from the US Census Bureau,gcod_usn53gy5kayfs9qdqrjfb32vrjsl4,
"100 Bromfield Road, Somerville MA",Bromfield Road,100,WEST SOMERVILLE,1,199,42.403152,-71.116124,1,range_interpolation,100 Bromfield Rd,,"Somerville, MA 02144",,100,Bromfield Rd,,,Somerville,MA,,Middlesex County,02144,US,,TIGER/Line® from the US Census Bureau,gcod_usn53gy5kayfs9qdnpyk4hyd2wtse,
