address,street,num,school,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio Address Line 4","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State / Province","Geocodio Nation","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Building Name","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"3 Cottage Circle, Somerville MA","Cottage Circle",3,KENNEDY,42.393638,-71.122405,1,rooftop,"3 Cottage Cir",,"Somerville, MA 02144",,3,"Cottage Cir",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnfvjf5lu94r5327lzd4kkdkxgl9,building_centroid
"12 Craigie Terrace, Somerville MA","Craigie Terrace",12,KENNEDY,42.385842,-71.112865,1,rooftop,"12 Craigie Ter",,"Somerville, MA 02143",,12,"Craigie Ter",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnj2dzqsmncy7x42k3t8b4j7j82e,building_centroid
"14 Dresden Circle, Somerville MA","Dresden Circle",14,KENNEDY,42.395023,-71.120499,1,rooftop,"14 Dresden Cir",,"Somerville, MA 02144",,14,"Dresden Cir",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn5jefjkjlvunee94rtnyeyvyfk7,building_centroid
"13 Elmwood Terrace, Somerville MA","Elmwood Terrace",13,"WEST SOMERVILLE",42.398619,-71.12675,1,rooftop,"13 Elmwood Ter",,"Somerville, MA 02144",,13,"Elmwood Ter",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn53e4f3ljecxk6tvm27y5acx8x3,building_centroid
"9 Gilson Terrace, Somerville MA","Gilson Terrace",9,KENNEDY,42.388363,-71.1144,1,rooftop,"9 Gilson Ter",,"Somerville, MA 02143",,9,"Gilson Ter",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnf5sr93brs5db8ymjajwdxy6wn5,building_centroid
"15 Greenwood Terrace, Somerville MA","Greenwood Terrace",15,KENNEDY,42.385293,-71.114072,1,rooftop,"15 Greenwood Ter",,"Somerville, MA 02143",,15,"Greenwood Ter",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnp9qkvmtsl9dj6eeef7tscy6buc,building_centroid
"14 Gussie Terrace, Somerville MA","Gussie Terrace",14,KENNEDY,42.388493,-71.113031,1,rooftop,"14 Gussie Ter",,"Somerville, MA 02143",,14,"Gussie Ter",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnl6urwck2e3wq89rkhuc9b4gzuh,building_centroid
"1 Hayden Terrace, Somerville MA","Hayden Terrace",1,KENNEDY,42.388342,-71.113108,1,rooftop,"1 Hayden Ter",,"Somerville, MA 02143",,1,"Hayden Ter",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn6g7zdwxw9gf2gm92gsq7z7nzra,building_centroid
"9 Steeves Circle, Somerville MA","Steeves Circle",9,KENNEDY,42.390403,-71.115092,1,rooftop,"9 Steeves Cir",,"Somerville, MA 02144",,9,"Steeves Cir",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn9pdhl4c5bafhcy2u4n7xgc9vpd,building_centroid
"12 Williams Court, Somerville MA","Williams Court",12,KENNEDY,42.387494,-71.113547,1,rooftop,"12 Williams Ct",,"Somerville, MA 02143",,12,"Williams Ct",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn3abjcpxvmzembxlqrl63lffl92,building_centroid
"1 Wade Court, Somerville MA","Wade Court",1,"WEST SOMERVILLE",42.431106,-71.048783,0.85,range_interpolation,"1 Waite Ct",,"Malden, MA 02148",,1,"Waite Ct",,,Malden,MA,,"Middlesex County",02148,US,,"TIGER/Line® from the US Census Bureau",gcod_usn4bme3wjjsbyk2m4vsalssqpds5,
"14 Belmont Place, Somerville MA","Belmont Place",14,KENNEDY,42.385926,-71.109287,1,rooftop,"14 Belmont Pl",,"Somerville, MA 02143",,14,"Belmont Pl",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnn4xel8xpnapudfqc54e8pamzde,building_centroid
"12 Parker Place, Somerville MA","Parker Place",12,KENNEDY,42.387102,-71.113779,1,rooftop,"12 Parker Pl",,"Somerville, MA 02143",,12,"Parker Pl",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usng7vxhjbhturv28kafq2x9gkvy9,building_centroid
"7 Belmont Square, Somerville MA","Belmont Square",7,KENNEDY,42.384815,-71.11083,0.95,range_interpolation,"7 Belmont St",,"Somerville, MA 02143",,7,"Belmont St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usnjg2qcwvxlw7l8tukkknkgpcpue,
"6 Gov. Winthrop Road, Somerville MA","Gov. Winthrop Road",6,HEALEY,42.38092,-71.098896,0.5,place,,,"Somerville, MA 02143",,,,,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",,
"30 Gov. Winthrop Road, Somerville MA","Gov. Winthrop Road",30,HEALEY,42.38092,-71.098896,0.5,place,,,"Somerville, MA 02143",,,,,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",,
"54 Gov. Winthrop Road, Somerville MA","Gov. Winthrop Road",54,HEALEY,42.38092,-71.098896,0.5,place,,,"Somerville, MA 02143",,,,,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",,
"78 Gov. Winthrop Road, Somerville MA","Gov. Winthrop Road",78,HEALEY,42.38092,-71.098896,0.5,place,,,"Somerville, MA 02143",,,,,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",,
"102 Gov. Winthrop Road, Somerville MA","Gov. Winthrop Road",102,HEALEY,42.38092,-71.098896,0.5,place,,,"Somerville, MA 02143",,,,,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",,
"126 Gov. Winthrop Road, Somerville MA","Gov. Winthrop Road",126,HEALEY,42.38092,-71.098896,0.5,place,,,"Somerville, MA 02143",,,,,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",,
"2 Wellington Avenue, Somerville MA","Wellington Avenue",2,"WINTER HILL",42.390121,-71.091213,1,rooftop,"2 Wellington Ave",,"Somerville, MA 02145",,2,"Wellington Ave",,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnecvh4m5nlju8g7qv9b578jkd99,building_centroid
"22 Wellington Avenue, Somerville MA","Wellington Avenue",22,"WINTER HILL",42.389696,-71.090208,1,rooftop,"22 Wellington Ave",,"Somerville, MA 02145",,22,"Wellington Ave",,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnecvh4m5nlju8gwanurbstr6zyc,building_centroid
"9 Montrose Court, Somerville MA","Montrose Court",9,"WINTER HILL",42.389008,-71.099535,1,rooftop,"9 Montrose Ct",,"Somerville, MA 02143",,9,"Montrose Ct",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnvxbpmps674cz4qjcj86bj84q34,building_centroid
