address,street,num,lat,lon,zone_k5_assigned,school_k5_assigned,walk_min_to_assigned,straight_line_to_assigned_mi,closest_school_by_straight_line,closest_straight_line_mi,margin_mi,is_mismatch,is_high_confidence_mismatch,dist_to_Brown_mi,dist_to_Kennedy_mi,dist_to_WestSomerville_mi,dist_to_WinterHill_mi,dist_to_Healey_mi,dist_to_Argenziano_mi,dist_to_EastSomerville_mi,dest_6_8_assigned,dest_6_8_closest_candidate,dest_6_8_closest_mi,dest_6_8_margin_mi,dest_6_8_is_mismatch
"69 Bay State Avenue, Somerville MA 02144",Bay State Avenue,69,42.398516,-71.116152,Brown,Brown,4,0.1378,Brown,0.1378,0.0,False,False,0.1378,0.6315,0.7459,1.0041,1.0631,1.615,1.7145,,,,,
"7 Bellevue Terrace, Somerville MA 02144",Bellevue Terrace,7,42.392728,-71.109314,Brown,Brown,13,0.3966,Kennedy,0.392,0.0046,True,False,0.3966,0.392,1.276,0.5417,0.7855,1.0912,1.2717,,,,,
"10 Bellevue Terrace, Somerville MA 02144",Bellevue Terrace,10,42.392819,-71.109578,Brown,Brown,13,0.3835,Brown,0.3835,0.0,False,False,0.3835,0.385,1.2622,0.5559,0.7952,1.1033,1.286,,,,,
"1 Boston Avenue, Somerville MA 02144",Boston Avenue,1,42.394851,-71.111016,Brown,Brown,8,0.2281,Brown,0.2281,0.0,False,False,0.2281,0.442,1.1103,0.6612,0.82,1.2616,1.3873,,,,,
"16 Boston Avenue, Somerville MA 02144",Boston Avenue,16,42.395244,-71.111197,Brown,Brown,7,0.202,Brown,0.202,0.0,False,False,0.202,0.4609,1.0847,0.6793,0.8234,1.2898,1.4034,,,,,
"31 Boston Avenue, Somerville MA 02144",Boston Avenue,31,42.395548,-71.110541,Brown,Brown,9,0.2145,Brown,0.2145,0.0,False,False,0.2145,0.4958,1.0948,0.6565,0.7866,1.292,1.3771,,,,,
"46 Boston Avenue, Somerville MA 02144",Boston Avenue,46,42.396059,-71.110652,Brown,Brown,5,0.1917,Brown,0.1917,0.0,False,False,0.1917,0.5237,1.0671,0.6768,0.7869,1.3259,1.3932,,,,,
"61 Boston Avenue, Somerville MA 02144",Boston Avenue,61,42.396525,-71.110267,Brown,Brown,5,0.1984,Brown,0.1984,0.0,False,False,0.1984,0.5613,1.0616,0.6747,0.7638,1.3458,1.3851,,,,,
"76 Boston Avenue, Somerville MA 02144",Boston Avenue,76,42.396821,-71.109701,Brown,Brown,10,0.2224,Brown,0.2224,0.0,False,False,0.2224,0.5933,1.0718,0.6606,0.7334,1.3519,1.3652,,,,,
"91 Boston Avenue, Somerville MA 02144",Boston Avenue,91,42.397486,-71.109644,Brown,Brown,9,0.2231,Brown,0.2231,0.0,False,False,0.2231,0.6349,1.0471,0.6841,0.7288,1.3927,1.3796,,,,,
"106 Boston Avenue, Somerville MA 02144",Boston Avenue,106,42.397786,-71.110337,Brown,Brown,7,0.1904,Brown,0.1904,0.0,False,False,0.1904,0.6377,1.0062,0.7249,0.7644,1.4261,1.4202,,,,,
"121 Boston Avenue, Somerville MA 02144",Boston Avenue,121,42.398465,-71.110313,Brown,Brown,8,0.205,Brown,0.205,0.0,False,False,0.205,0.6812,0.981,0.7523,0.7657,1.4683,1.4381,,,,,
"136 Boston Avenue, Somerville MA 02144",Boston Avenue,136,42.398904,-71.110708,Brown,Brown,7,0.2016,Brown,0.2016,0.0,False,False,0.2016,0.7019,0.9478,0.787,0.7889,1.5042,1.4693,,,,,
"151 Boston Avenue, Somerville MA 02144",Boston Avenue,151,42.399248,-71.110928,Brown,Brown,6,0.2069,Brown,0.2069,0.0,False,False,0.2069,0.7205,0.9258,0.8109,0.8032,1.5305,1.4897,,,,,
"158 Boston Avenue, Somerville MA 02144",Boston Avenue,158,42.399248,-71.111415,Brown,Brown,5,0.1887,Brown,0.1887,0.0,False,False,0.1887,0.7128,0.9046,0.83,0.8277,1.5408,1.5121,,,,,
"87 Bristol Road, Somerville MA 02145",Bristol Road,87,42.400742,-71.113458,Brown,Brown,7,0.2393,Brown,0.2393,0.0,False,False,0.2393,0.7915,0.7622,0.9761,0.9497,1.6792,1.6515,,,,,
"102 Bristol Road, Somerville MA 02145",Bristol Road,102,42.400092,-71.112711,Brown,Brown,6,0.2038,Brown,0.2038,0.0,False,False,0.2038,0.7534,0.8177,0.9181,0.9028,1.622,1.5971,,,,,
"108 Bristol Road, Somerville MA 02145",Bristol Road,108,42.400239,-71.112549,Brown,Brown,6,0.2162,Brown,0.2162,0.0,False,False,0.2162,0.7649,0.8197,0.9183,0.8968,1.6275,1.5943,,,,,
"585 Broadway, Somerville MA 02144",Broadway,585,42.398499,-71.108497,Brown,Brown,9,0.2932,Brown,0.2932,0.0,False,False,0.2932,0.7245,1.0589,0.684,0.6736,1.4356,1.3556,,,,,
"600 Broadway, Somerville MA 02144",Broadway,600,42.398513,-71.108838,Brown,Brown,9,0.2768,Brown,0.2768,0.0,False,False,0.2768,0.7168,1.0434,0.6973,0.6911,1.4426,1.3716,,,,,
"615 Broadway, Somerville MA 02144",Broadway,615,42.398623,-71.108866,Brown,Brown,9,0.2779,Brown,0.2779,0.0,False,False,0.2779,0.7229,1.0383,0.7035,0.6933,1.4502,1.3763,,,,,
"630 Broadway, Somerville MA 02144",Broadway,630,42.399018,-71.109103,Brown,Brown,9,0.277,Brown,0.277,0.0,False,False,0.277,0.7417,1.0143,0.7311,0.7087,1.4801,1.3994,,,,,
"645 Broadway, Somerville MA 02144",Broadway,645,42.398746,-71.109235,Brown,Brown,8,0.2633,Brown,0.2633,0.0,False,False,0.2633,0.7218,1.0178,0.7231,0.7129,1.465,1.3969,,,,,
"660 Broadway, Somerville MA 02144",Broadway,660,42.399248,-71.110928,Brown,Brown,6,0.2069,Brown,0.2069,0.0,False,False,0.2069,0.7205,0.9258,0.8109,0.8032,1.5305,1.4897,,,,,
"675 Broadway, Somerville MA 02144",Broadway,675,42.399752,-71.111168,Brown,Brown,6,0.2229,Brown,0.2229,0.0,False,False,0.2229,0.7498,0.8976,0.8429,0.8211,1.5673,1.5163,,,,,
"690 Broadway, Somerville MA 02144",Broadway,690,42.399585,-71.111852,Brown,Brown,5,0.1924,Brown,0.1924,0.0,False,False,0.1924,0.729,0.8734,0.862,0.8534,1.5714,1.5423,,,,,
"705 Broadway, Somerville MA 02144",Broadway,705,42.40012,-71.112264,Brown,Brown,5,0.2141,Brown,0.2141,0.0,False,False,0.2141,0.7599,0.8364,0.9018,0.8809,1.6138,1.5776,,,,,
"720 Broadway, Somerville MA 02144",Broadway,720,42.399963,-71.113007,Brown,Brown,5,0.1908,Brown,0.1908,0.0,False,False,0.1908,0.7419,0.8095,0.9243,0.916,1.6208,1.6067,,,,,
"726 Broadway, Somerville MA 02144",Broadway,726,42.400063,-71.113289,Brown,Brown,6,0.1943,Brown,0.1943,0.0,False,False,0.1943,0.7463,0.7936,0.9399,0.9314,1.6335,1.6227,,,,,
"107 Cedar Street, Somerville MA 02144",Cedar Street,107,42.392443,-71.11204,Brown,Brown,11,0.3505,Kennedy,0.2759,0.0746,True,False,0.3505,0.2759,1.2004,0.6779,0.9208,1.1507,1.4064,,,,,
"122 Cedar Street, Somerville MA 02144",Cedar Street,122,42.392786,-71.111802,Brown,Brown,11,0.3317,Kennedy,0.302,0.0297,True,False,0.3317,0.302,1.1893,0.6681,0.9007,1.1629,1.3977,,,,,
"137 Cedar Street, Somerville MA 02144",Cedar Street,137,42.393463,-71.111669,Brown,Brown,10,0.2909,Brown,0.2909,0.0,False,False,0.2909,0.3434,1.1578,0.6685,0.8784,1.1976,1.3989,,,,,
"152 Cedar Street, Somerville MA 02144",Cedar Street,152,42.393619,-71.111168,Brown,Brown,10,0.2929,Brown,0.2929,0.0,False,False,0.2929,0.3672,1.1666,0.6455,0.8507,1.1927,1.3758,,,,,
"167 Cedar Street, Somerville MA 02144",Cedar Street,167,42.394684,-71.110786,Brown,Brown,9,0.2445,Brown,0.2445,0.0,False,False,0.2445,0.4386,1.1267,0.6463,0.8113,1.2458,1.3731,,,,,
"182 Cedar Street, Somerville MA 02144",Cedar Street,182,42.394789,-71.110773,Brown,Brown,9,0.2396,Brown,0.2396,0.0,False,False,0.2396,0.445,1.1221,0.6481,0.8089,1.2517,1.3743,,,,,
"197 Cedar Street, Somerville MA 02144",Cedar Street,197,42.395054,-71.110167,Brown,Brown,10,0.2502,Brown,0.2502,0.0,False,False,0.2502,0.4775,1.1319,0.6256,0.7747,1.2529,1.3492,,,,,
"212 Cedar Street, Somerville MA 02144",Cedar Street,212,42.395559,-71.110235,Brown,Brown,10,0.2272,Brown,0.2272,0.0,False,False,0.2272,0.5046,1.1059,0.6426,0.7711,1.2855,1.3624,,,,,
"227 Cedar Street, Somerville MA 02144",Cedar Street,227,42.395941,-71.109922,Brown,Brown,11,0.2288,Brown,0.2288,0.0,False,False,0.2288,0.5354,1.1008,0.6399,0.7511,1.3018,1.3553,,,,,
"242 Cedar Street, Somerville MA 02144",Cedar Street,242,42.396269,-71.109752,Brown,Brown,11,0.2287,Brown,0.2287,0.0,False,False,0.2287,0.5593,1.0931,0.6431,0.7395,1.3185,1.3544,,,,,
"257 Cedar Street, Somerville MA 02144",Cedar Street,257,42.396772,-71.109336,Brown,Brown,12,0.2413,Brown,0.2413,0.0,False,False,0.2413,0.6,1.0887,0.6431,0.715,1.3412,1.3466,,,,,
"272 Cedar Street, Somerville MA 02144",Cedar Street,272,42.397477,-71.10886,Brown,Brown,11,0.2631,Brown,0.2631,0.0,False,False,0.2631,0.6542,1.0805,0.6518,0.6888,1.3765,1.3426,,,,,
"287 Cedar Street, Somerville MA 02144",Cedar Street,287,42.397973,-71.108511,Brown,Brown,11,0.2844,Brown,0.2844,0.0,False,False,0.2844,0.6927,1.0769,0.66,0.6717,1.4018,1.3404,,,,,
"298 Cedar Street, Somerville MA 02144",Cedar Street,298,42.397096,-71.108745,Brown,Brown,12,0.269,Brown,0.269,0.0,False,False,0.269,0.635,1.1001,0.6312,0.6836,1.3499,1.3269,,,,,
"1 Clifton Street, Somerville MA 02145",Clifton Street,1,42.396975,-71.117426,Brown,Brown,6,0.1758,Brown,0.1758,0.0,False,False,0.1758,0.5331,0.7849,1.0189,1.1266,1.5662,1.742,,,,,
"14 Clifton Street, Somerville MA 02145",Clifton Street,14,42.396448,-71.117345,Brown,Brown,6,0.1801,Brown,0.1801,0.0,False,False,0.1801,0.4966,0.817,1.0025,1.1243,1.535,1.7279,,,,,
"2 Clyde Street, Somerville MA 02145",Clyde Street,2,42.395269,-71.110016,Brown,Brown,10,0.2475,Brown,0.2475,0.0,False,False,0.2475,0.494,1.1276,0.6242,0.764,1.2625,1.3459,,,,,
"17 Clyde Street, Somerville MA 02145",Clyde Street,17,42.39468,-71.109506,Brown,Brown,11,0.2926,Brown,0.2926,0.0,False,False,0.2926,0.4775,1.1742,0.5848,0.7482,1.2144,1.3098,,,,,
"32 Clyde Street, Somerville MA 02145",Clyde Street,32,42.394864,-71.108801,Brown,Brown,11,0.3147,Brown,0.3147,0.0,False,False,0.3147,0.5107,1.1926,0.5562,0.7101,1.21,1.2786,,,,,
"47 Clyde Street, Somerville MA 02145",Clyde Street,47,42.394579,-71.108344,Brown,Brown,12,0.3449,Brown,0.3449,0.0,False,False,0.3449,0.5127,1.2231,0.5271,0.6932,1.1823,1.2508,,,,,
"56 Clyde Street, Somerville MA 02145",Clyde Street,56,42.394236,-71.107666,Brown,Brown,13,0.3869,Brown,0.3869,0.0,False,False,0.3869,0.5225,1.2648,0.4861,0.6679,1.1465,1.2112,,,,,
"1 College Avenue, Somerville MA 02144",College Avenue,1,42.396444,-71.121794,Brown,Brown,12,0.4016,Brown,0.4016,0.0,False,False,0.4016,0.5832,0.7128,1.219,1.3509,1.6852,1.9475,,,,,
"16 College Avenue, Somerville MA 02144",College Avenue,16,42.396865,-71.121886,Brown,Brown,13,0.403,Brown,0.403,0.0,False,False,0.403,0.6102,0.6838,1.2317,1.3543,1.7093,1.9592,,,,,
"31 College Avenue, Somerville MA 02144",College Avenue,31,42.397585,-71.121263,Brown,Brown,12,0.3706,Brown,0.3706,0.0,False,False,0.3706,0.6376,0.6496,1.2171,1.3217,1.7241,1.9417,,,,,
"46 College Avenue, Somerville MA 02144",College Avenue,46,42.398074,-71.121171,Brown,Brown,11,0.3693,Brown,0.3693,0.0,False,False,0.3693,0.6658,0.621,1.2245,1.3175,1.7463,1.9469,,,,,
"61 College Avenue, Somerville MA 02144",College Avenue,61,42.398557,-71.12111,Brown,Brown,10,0.3725,Brown,0.3725,0.0,False,False,0.3725,0.6947,0.5925,1.2341,1.3158,1.7695,1.954,,,,,
"76 College Avenue, Somerville MA 02144",College Avenue,76,42.399068,-71.120583,Brown,Brown,10,0.3569,Brown,0.3569,0.0,False,False,0.3569,0.7169,0.575,1.2236,1.2914,1.7796,1.9399,,,,,
"91 College Avenue, Somerville MA 02144",College Avenue,91,42.399395,-71.119342,Brown,Brown,8,0.3081,Brown,0.3081,0.0,False,False,0.3081,0.7184,0.5925,1.1765,1.2304,1.7585,1.8882,,,,,
"106 College Avenue, Somerville MA 02144",College Avenue,106,42.399753,-71.118881,Brown,Brown,8,0.3008,Brown,0.3008,0.0,False,False,0.3008,0.7364,0.5883,1.1672,1.2099,1.7645,1.8752,,,,,
"121 College Avenue, Somerville MA 02144",College Avenue,121,42.40046,-71.117659,Brown,Brown,10,0.2868,Brown,0.2868,0.0,False,False,0.2868,0.7727,0.5978,1.1382,1.1556,1.7695,1.8365,,,,,
"136 College Avenue, Somerville MA 02144",College Avenue,136,42.400671,-71.117412,Brown,Brown,10,0.2904,Brown,0.2904,0.0,False,False,0.2904,0.7855,0.598,1.1355,1.1459,1.7749,1.8309,,,,,
"143 College Avenue, Somerville MA 02144",College Avenue,143,42.401549,-71.116517,Brown,Brown,10,0.3201,Brown,0.3201,0.0,False,False,0.3201,0.8418,0.5996,1.133,1.1146,1.8028,1.8158,,,,,
"1 Elm Court, Somerville MA 02144",Elm Court,1,42.396831,-71.121122,Brown,Brown,12,0.3643,Brown,0.3643,0.0,False,False,0.3643,0.5883,0.7003,1.1938,1.3154,1.6808,1.9208,,,,,
"6 Elm Court, Somerville MA 02144",Elm Court,6,42.396736,-71.121372,Brown,Brown,12,0.3777,Brown,0.3777,0.0,False,False,0.3777,0.5889,0.7015,1.204,1.3284,1.6848,1.9315,,,,,
"16 Ellington Road, Somerville MA 02144",Ellington Road,16,42.395451,-71.119509,Brown,Brown,10,0.3084,Brown,0.3084,0.0,False,False,0.3084,0.4657,0.8211,1.0888,1.2406,1.5549,1.8184,,,,,
"31 Ellington Road, Somerville MA 02144",Ellington Road,31,42.395902,-71.119525,Brown,Brown,10,0.2976,Brown,0.2976,0.0,False,False,0.2976,0.4942,0.7927,1.0974,1.2382,1.5784,1.8262,,,,,
"32 Ellington Road, Somerville MA 02144",Ellington Road,32,42.395698,-71.119666,Brown,Brown,10,0.3091,Brown,0.3091,0.0,False,False,0.3091,0.4845,0.8022,1.1007,1.2467,1.5729,1.8299,,,,,
"4 Foskett Street, Somerville MA 02145",Foskett Street,4,42.396772,-71.115255,Brown,Brown,3,0.0733,Brown,0.0733,0.0,False,False,0.0733,0.5104,0.8652,0.9109,1.0165,1.4896,1.6319,,,,,
"19 Foskett Street, Somerville MA 02145",Foskett Street,19,42.397043,-71.115825,Brown,Brown,4,0.0943,Brown,0.0943,0.0,False,False,0.0943,0.5291,0.832,0.945,1.0448,1.5215,1.6653,,,,,
"34 Foskett Street, Somerville MA 02145",Foskett Street,34,42.397639,-71.116558,Brown,Brown,5,0.1321,Brown,0.1321,0.0,False,False,0.1321,0.5725,0.7763,0.9958,1.0817,1.5768,1.7136,,,,,
"49 Foskett Street, Somerville MA 02145",Foskett Street,49,42.397363,-71.116677,Brown,Brown,5,0.1361,Brown,0.1361,0.0,False,False,0.1361,0.5542,0.7871,0.9936,1.0878,1.5648,1.7134,,,,,
"52 Foskett Street, Somerville MA 02145",Foskett Street,52,42.397565,-71.117159,Brown,Brown,6,0.1617,Brown,0.1617,0.0,False,False,0.1617,0.5711,0.7607,1.0217,1.1123,1.5906,1.7411,,,,,
"7 Francesca Avenue, Somerville MA 02144",Francesca Avenue,7,42.398765,-71.119508,Brown,Brown,9,0.2982,Brown,0.2982,0.0,False,False,0.2982,0.6791,0.6225,1.1651,1.2351,1.7291,1.8813,,,,,
"22 Francesca Avenue, Somerville MA 02144",Francesca Avenue,22,42.398784,-71.11867,Brown,Brown,8,0.2589,Brown,0.2589,0.0,False,False,0.2589,0.6688,0.6468,1.127,1.1925,1.7042,1.8414,,,,,
"37 Francesca Avenue, Somerville MA 02144",Francesca Avenue,37,42.398216,-71.118208,Brown,Brown,7,0.2233,Brown,0.2233,0.0,False,False,0.2233,0.6252,0.6923,1.089,1.1668,1.6586,1.8062,,,,,
"52 Francesca Avenue, Somerville MA 02144",Francesca Avenue,52,42.398361,-71.118424,Brown,Brown,7,0.2368,Brown,0.2368,0.0,False,False,0.2368,0.6374,0.6777,1.1031,1.1782,1.6733,1.8198,,,,,
"58 Francesca Avenue, Somerville MA 02144",Francesca Avenue,58,42.398194,-71.117201,Brown,Brown,6,0.1741,Brown,0.1741,0.0,False,False,0.1741,0.6144,0.7259,1.0418,1.1154,1.627,1.7571,,,,,
"45 Grove Street, Somerville MA 02144",Grove Street,45,42.396341,-71.11992,Brown,Brown,11,0.3088,Brown,0.3088,0.0,False,False,0.3088,0.5302,0.7566,1.1252,1.2559,1.6144,1.853,,,,,
"60 Grove Street, Somerville MA 02144",Grove Street,60,42.39679,-71.119642,Brown,Brown,10,0.2895,Brown,0.2895,0.0,False,False,0.2895,0.5529,0.7355,1.121,1.24,1.6281,1.8472,,,,,
"65 Grove Street, Somerville MA 02144",Grove Street,65,42.396904,-71.119568,Brown,Brown,10,0.2849,Brown,0.2849,0.0,False,False,0.2849,0.5588,0.7304,1.12,1.236,1.6316,1.8456,,,,,
"5 Hall Avenue, Somerville MA 02144",Hall Avenue,5,42.398357,-71.12056,Brown,Brown,10,0.3421,Brown,0.3421,0.0,False,False,0.3421,0.6709,0.618,1.2029,1.2871,1.7409,1.9231,,,,,
"20 Hall Avenue, Somerville MA 02144",Hall Avenue,20,42.398458,-71.11969,Brown,Brown,9,0.3006,Brown,0.3006,0.0,False,False,0.3006,0.6618,0.635,1.1648,1.2431,1.7182,1.8831,,,,,
"35 Hall Avenue, Somerville MA 02144",Hall Avenue,35,42.397892,-71.119277,Brown,Brown,9,0.2718,Brown,0.2718,0.0,False,False,0.2718,0.618,0.6793,1.1301,1.2206,1.6745,1.8509,,,,,
"50 Hall Avenue, Somerville MA 02144",Hall Avenue,50,42.398019,-71.118523,Brown,Brown,8,0.2355,Brown,0.2355,0.0,False,False,0.2355,0.6157,0.6936,1.0981,1.1824,1.6575,1.817,,,,,
"65 Hall Avenue, Somerville MA 02144",Hall Avenue,65,42.397451,-71.118039,Brown,Brown,7,0.2058,Brown,0.2058,0.0,False,False,0.2058,0.5717,0.7399,1.0601,1.1572,1.6114,1.7815,,,,,
"73 Hall Avenue, Somerville MA 02144",Hall Avenue,73,42.397366,-71.117755,Brown,Brown,7,0.1911,Brown,0.1911,0.0,False,False,0.1911,0.5629,0.7532,1.0444,1.1428,1.5979,1.7659,,,,,
"219 Highland Avenue, Somerville MA 02144",Highland Avenue,219,42.390438,-71.107967,Brown,Brown,17,0.5657,Kennedy,0.3924,0.1733,True,True,0.5657,0.3924,1.4394,0.4756,0.8087,0.9199,1.1871,,,,,
"234 Highland Avenue, Somerville MA 02144",Highland Avenue,234,42.390797,-71.108909,Brown,Brown,16,0.5194,Kennedy,0.3513,0.1681,True,True,0.5194,0.3513,1.3893,0.5195,0.8333,0.9664,1.2364,,,,,
"249 Highland Avenue, Somerville MA 02144",Highland Avenue,249,42.391291,-71.10992,Brown,Brown,15,0.4648,Kennedy,0.3147,0.1501,True,True,0.4648,0.3147,1.3301,0.5682,0.859,1.0233,1.2903,,,,,
"264 Highland Avenue, Somerville MA 02144",Highland Avenue,264,42.391311,-71.110869,Brown,Brown,14,0.4439,Kennedy,0.2721,0.1718,True,True,0.4439,0.2721,1.2988,0.6165,0.9005,1.0523,1.3386,,,,,
"279 Highland Avenue, Somerville MA 02144",Highland Avenue,279,42.391838,-71.111928,Brown,Brown,12,0.3922,Kennedy,0.2496,0.1426,True,False,0.3922,0.2496,1.2371,0.6702,0.9324,1.1139,1.3958,,,,,
"294 Highland Avenue, Somerville MA 02144",Highland Avenue,294,42.392267,-71.113064,Brown,Brown,11,0.3512,Kennedy,0.2352,0.116,True,False,0.3512,0.2352,1.179,0.7292,0.9738,1.173,1.4567,,,,,
