address,street,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio Address Line 4","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State / Province","Geocodio Nation","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Building Name","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"220 Summer Street, Somerville MA 02144","Summer Street 172-End",42.388578,-71.111184,1,rooftop,"220 Summer St",,"Somerville, MA 02143",,220,"Summer St",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usng7588y2e6qq88byvpue3k95elc,building_centroid
"50 Cedar Street, Somerville MA 02144","Cedar Street 1-105",42.389967,-71.113797,1,range_interpolation,"50 Cedar St",,"Somerville, MA 02143",,50,"Cedar St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usnfs5y6uykd2l3bk3n97rp8dhrj3,
"100 Lowell Street, Somerville MA 02144","Lowell Street 1-207",42.496059,-71.16764,0.94,range_interpolation,"100 Lowell St",,"Woburn, MA 01801",,100,"Lowell St",,,Woburn,MA,,"Middlesex County",01801,US,,"TIGER/Line® from the US Census Bureau",gcod_usnh9h8vxccpdby2y85uy2c86ssr4,
"55 Willow Avenue, Somerville MA 02144","Willow Avenue 1-111",42.393029,-71.117347,1,rooftop,"55 Willow Ave",,"Somerville, MA 02144",,55,"Willow Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnm9hv77dgkaxc4v42fs7t4bxdvb,building_centroid
"40 Central Street, Somerville MA 02145","Central Street 1-82",42.385914,-71.105402,1,rooftop,"40 Central St",,"Somerville, MA 02143",,40,"Central St",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnugj7n9ua5q7j8z9hbplzlyjtl2,building_centroid
"305 Beacon Street, Somerville MA 02144","Beacon Street 236-374",42.38422,-71.113425,1,rooftop,"305 Beacon St",,"Somerville, MA 02143",,305,"Beacon St",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn69k52tyttapvh9tqbmfwk74jdf,building_centroid
"139 Hudson Street, Somerville MA 02144","Hudson Street 93-185",42.392016,-71.109742,1,rooftop,"139 Hudson St",,"Somerville, MA 02144",,139,"Hudson St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnbtx6q6q4musm5dl4kr74cf74rg,building_centroid
"629 Somerville Avenue, Somerville MA 02144","Somerville Avenue 583-675",42.384476,-71.110382,1,rooftop,"629 Somerville Ave",,"Somerville, MA 02143",,629,"Somerville Ave",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usneue8k7lxcytrezm2tpegbn7e73,building_centroid
