"Topic","Description","Year","Value","Units","Geography"
"Owners vs Renters","Owner-occupied housing units","2018","37.7","Percent","Massachusetts"
"Owners vs Renters","Renter-occupied housing units","2019","33.6","Percent","Somerville"
"Owners vs Renters","Owner-occupied housing units","2019","66.4","Percent","Somerville"
"Owners vs Renters","Renter-occupied housing units","2019","62.4","Percent","Massachusetts"
"Owners vs Renters","Owner-occupied housing units","2019","37.6","Percent","Massachusetts"
"Owners vs Renters","Renter-occupied housing units","2020","33.5","Percent","Somerville"
"Owners vs Renters","Owner-occupied housing units","2020","66.5","Percent","Somerville"
"Owners vs Renters","Renter-occupied housing units","2020","62.5","Percent","Massachusetts"
"Owners vs Renters","Owner-occupied housing units","2020","37.5","Percent","Massachusetts"
"Owners vs Renters","Owner-occupied housing units","2021","33.9","Percent","Somerville"
"Owners vs Renters","Renter-occupied housing units","2021","66.1","Percent","Somerville"
"Owners vs Renters","Owner-occupied housing units","2021","62.4","Percent","Massachusetts"
"Owners vs Renters","Renter-occupied housing units","2021","37.6","Percent","Massachusetts"
"Owners vs Renters","Owner-occupied housing units","2022","33.6","Percent","Somerville"
"Owners vs Renters","Renter-occupied housing units","2022","66.4","Percent","Somerville"
"Owners vs Renters","Owner-occupied housing units","2022","62.4","Percent","Massachusetts"
"Owners vs Renters","Renter-occupied housing units","2022","37.6","Percent","Massachusetts"
"Owners vs Renters","Owner-occupied housing units","2023","34.3","Percent","Somerville"
"Owners vs Renters","Renter-occupied housing units","2023","65.7","Percent","Somerville"
"Owners vs Renters","Owner-occupied housing units","2023","62.6","Percent","Massachusetts"
"Owners vs Renters","Renter-occupied housing units","2023","37.4","Percent","Massachusetts"
"Owners vs Renters","Owner-occupied housing units","2024","34.2","Percent","Somerville"
"Owners vs Renters","Renter-occupied housing units","2024","65.8","Percent","Somerville"
"Owners vs Renters","Owner-occupied housing units","2024","62.5","Percent","Massachusetts"
"Owners vs Renters","Renter-occupied housing units","2024","37.5","Percent","Massachusetts"
"Median Home Value Overtime","Median Home Value","2010","453,800","Dollars","Somerville"
"Median Home Value Overtime","Median Home Value","2010","352,300","Dollars","Massachusetts"
"Median Home Value Overtime","Median Home Value","2011","447,000","Dollars","Somerville"
"Median Home Value Overtime","Median Home Value","2011","343,500","Dollars","Massachusetts"
"Median Home Value Overtime","Median Home Value","2012","441,300","Dollars","Somerville"
"Median Home Value Overtime","Median Home Value","2012","335,500","Dollars","Massachusetts"
"Median Home Value Overtime","Median Home Value","2013","437,200","Dollars","Somerville"
"Median Home Value Overtime","Median Home Value","2013","330,100","Dollars","Massachusetts"
"Median Home Value Overtime","Median Home Value","2014","449,100","Dollars","Somerville"
"Median Home Value Overtime","Median Home Value","2014","329,900","Dollars","Massachusetts"
"Median Home Value Overtime","Median Home Value","2015","469,200","Dollars","Somerville"
"Median Home Value Overtime","Median Home Value","2015","333,100","Dollars","Massachusetts"
"Median Home Value Overtime","Median Home Value","2016","512,500","Dollars","Somerville"
"Median Home Value Overtime","Median Home Value","2016","341,000","Dollars","Massachusetts"
"Median Home Value Overtime","Median Home Value","2017","558,300","Dollars","Somerville"
"Median Home Value Overtime","Median Home Value","2017","352,600","Dollars","Massachusetts"
"Median Home Value Overtime","Median Home Value","2018","616,100","Dollars","Somerville"
"Median Home Value Overtime","Median Home Value","2018","366,800","Dollars","Massachusetts"
"Median Home Value Overtime","Median Home Value","2019","664,700","Dollars","Somerville"
"Median Home Value Overtime","Median Home Value","2019","381,600","Dollars","Massachusetts"
"Median Home Value Overtime","Median Home Value","2020","709,800","Dollars","Somerville"
"Median Home Value Overtime","Median Home Value","2020","398,800","Dollars","Massachusetts"
"Median Home Value Overtime","Median Home Value","2021","739,900","Dollars","Somerville"
"Median Home Value Overtime","Median Home Value","2021","424,700","Dollars","Massachusetts"
"Median Home Value Overtime","Median Home Value","2022","860,500","Dollars","Somerville"
"Median Home Value Overtime","Median Home Value","2022","483,900","Dollars","Massachusetts"
"Median Home Value Overtime","Median Home Value","2023","899,400","Dollars","Somerville"
"Median Home Value Overtime","Median Home Value","2023","525,800","Dollars","Massachusetts"
"Median Home Value Overtime","Median Home Value","2024","911,300","Dollars","Somerville"
"Median Home Value Overtime","Median Home Value","2024","562,100","Dollars","Massachusetts"
"Home Value to Income Ratio","Home Value to Income Ratio","2015","6.4","None","Somerville"
"Home Value to Income Ratio","Home Value to Income Ratio","2015","4.9","None","Massachusetts"
"Home Value to Income Ratio","Home Value to Income Ratio","2016","6.5","None","Somerville"
"Home Value to Income Ratio","Home Value to Income Ratio","2016","4.8","None","Massachusetts"
"Home Value to Income Ratio","Home Value to Income Ratio","2017","6.6","None","Somerville"
"Home Value to Income Ratio","Home Value to Income Ratio","2017","4.8","None","Massachusetts"
"Home Value to Income Ratio","Home Value to Income Ratio","2018","6.8","None","Somerville"
"Home Value to Income Ratio","Home Value to Income Ratio","2018","4.7","None","Massachusetts"
"Home Value to Income Ratio","Home Value to Income Ratio","2019","6.8","None","Somerville"
"Home Value to Income Ratio","Home Value to Income Ratio","2019","4.7","None","Massachusetts"
"Home Value to Income Ratio","Home Value to Income Ratio","2020","6.9","None","Somerville"
"Home Value to Income Ratio","Home Value to Income Ratio","2020","4.7","None","Massachusetts"
"Home Value to Income Ratio","Home Value to Income Ratio","2021","6.8","None","Somerville"
"Home Value to Income Ratio","Home Value to Income Ratio","2021","4.8","None","Massachusetts"
"Home Value to Income Ratio","Home Value to Income Ratio","2022","7.1","None","Somerville"
"Home Value to Income Ratio","Home Value to Income Ratio","2022","5","None","Massachusetts"
"Home Value to Income Ratio","Home Value to Income Ratio","2023","7.1","None","Somerville"
"Home Value to Income Ratio","Home Value to Income Ratio","2023","5.2","None","Massachusetts"
"Home Value to Income Ratio","Home Value to Income Ratio","2024","6.9","None","Somerville"
"Home Value to Income Ratio","Home Value to Income Ratio","2024","5.4","None","Massachusetts"
"Household by Income Category","$25,000 to $34,999","2024","5","Percent","Massachusetts"
"Household by Income Category","$35,000 to $49,999","2024","7.5","Percent","Massachusetts"
"Household by Income Category","$50,000 to $74,999","2024","12","Percent","Massachusetts"
"Household by Income Category","$75,000 to $99,999","2024","10.7","Percent","Massachusetts"
"Household by Income Category","$100,000 to $149,999","2024","17.5","Percent","Massachusetts"
"Household by Income Category","$150,000 to $199,999","2024","11.9","Percent","Massachusetts"
"Household by Income Category","$200,000 or more","2024","22.3","Percent","Massachusetts"
"Household by Income Category","$25,000 to $34,999","2024","3.7","Percent","Somerville"
"Household by Income Category","$35,000 to $49,999","2024","4.3","Percent","Somerville"
"Household by Income Category","$50,000 to $74,999","2024","9.6","Percent","Somerville"
"Household by Income Category","$75,000 to $99,999","2024","8.5","Percent","Somerville"
"Household by Income Category","$100,000 to $149,999","2024","17.8","Percent","Somerville"
"Household by Income Category","$150,000 to $199,999","2024","14.4","Percent","Somerville"
"Household by Income Category","$200,000 or more","2024","30.3","Percent","Somerville"
"Household by Income Category","Less than $25,000","2024","11.4","Percent","Somerville"
"Household by Income Category","Less than $25,000","2024","13.2","Percent","Massachusetts"
"Median Rent Overtime","Median Rent","2010","1,299","Dollars","Somerville"
"Median Rent Overtime","Median Rent","2010","1,006","Dollars","Massachusetts"
"Median Rent Overtime","Median Rent","2011","1,355","Dollars","Somerville"
"Median Rent Overtime","Median Rent","2011","1,037","Dollars","Massachusetts"
"Median Rent Overtime","Median Rent","2012","1,372","Dollars","Somerville"
"Median Rent Overtime","Median Rent","2012","1,056","Dollars","Massachusetts"
"Median Rent Overtime","Median Rent","2013","1,419","Dollars","Somerville"
"Median Rent Overtime","Median Rent","2013","1,069","Dollars","Massachusetts"
"Median Rent Overtime","Median Rent","2014","1,470","Dollars","Somerville"
"Median Rent Overtime","Median Rent","2014","1,088","Dollars","Massachusetts"
"Median Rent Overtime","Median Rent","2015","1,521","Dollars","Somerville"
"Median Rent Overtime","Median Rent","2015","1,102","Dollars","Massachusetts"
"Median Rent Overtime","Median Rent","2016","1,600","Dollars","Somerville"
"Median Rent Overtime","Median Rent","2016","1,129","Dollars","Massachusetts"
"Median Rent Overtime","Median Rent","2017","1,699","Dollars","Somerville"
"Median Rent Overtime","Median Rent","2017","1,173","Dollars","Massachusetts"
"Median Rent Overtime","Median Rent","2018","1,763","Dollars","Somerville"
"Median Rent Overtime","Median Rent","2018","1,225","Dollars","Massachusetts"
"Median Rent Overtime","Median Rent","2019","1,874","Dollars","Somerville"
"Median Rent Overtime","Median Rent","2019","1,282","Dollars","Massachusetts"
"Median Rent Overtime","Median Rent","2020","2,026","Dollars","Somerville"
"Median Rent Overtime","Median Rent","2020","1,336","Dollars","Massachusetts"
"Median Rent Overtime","Median Rent","2021","2,152","Dollars","Somerville"
"Median Rent Overtime","Median Rent","2021","1,429","Dollars","Massachusetts"
"Median Rent Overtime","Median Rent","2022","2,357","Dollars","Somerville"
"Median Rent Overtime","Median Rent","2022","1,588","Dollars","Massachusetts"
"Median Rent Overtime","Median Rent","2023","2,468","Dollars","Somerville"
"Median Rent Overtime","Median Rent","2023","1,687","Dollars","Massachusetts"
"Median Rent Overtime","Median Rent","2024","2,517","Dollars","Somerville"
"Median Rent Overtime","Median Rent","2024","1,762","Dollars","Massachusetts"
"Median Rent by Year Moved In","Moved in 2023 or later","2024","2,886","Dollars","Somerville"
"Median Rent by Year Moved In","Moved in 2020 to 2022","2024","2,687","Dollars","Somerville"
"Median Rent by Year Moved In","Moved in 2010 to 2019","2024","2,481","Dollars","Somerville"
"Median Rent by Year Moved In","Moved in 2000 to 2009","2024","1,773","Dollars","Somerville"
"Median Rent by Year Moved In","Moved in 1990 to 1999","2024","1,096","Dollars","Somerville"
"Median Rent by Year Moved In","Moved in 1989 or earlier","2024","1,878","Dollars","Somerville"
"Median Rent by Year Moved In","Moved in 2023 or later","2024","2,298","Dollars","Massachusetts"
"Median Rent by Year Moved In","Moved in 2020 to 2022","2024","2,077","Dollars","Massachusetts"
"Median Rent by Year Moved In","Moved in 2010 to 2019","2024","1,645","Dollars","Massachusetts"
"Median Rent by Year Moved In","Moved in 2000 to 2009","2024","1,227","Dollars","Massachusetts"
"Median Rent by Year Moved In","Moved in 1990 to 1999","2024","1,142","Dollars","Massachusetts"
"Median Rent by Year Moved In","Moved in 1989 or earlier","2024","1,115","Dollars","Massachusetts"
"Rent Burdened Households","Rent Burdened Households","2010","45.8","Percent","Somerville"
"Rent Burdened Households","Rent Burdened Households","2011","44","Percent","Somerville"
"Rent Burdened Households","Rent Burdened Households","2012","43","Percent","Somerville"
"Rent Burdened Households","Rent Burdened Households","2013","40.7","Percent","Somerville"
"Rent Burdened Households","Rent Burdened Households","2014","42.6","Percent","Somerville"
"Rent Burdened Households","Rent Burdened Households","2015","39.7","Percent","Somerville"
"Rent Burdened Households","Rent Burdened Households","2016","37.7","Percent","Somerville"
"Rent Burdened Households","Rent Burdened Households","2017","37.8","Percent","Somerville"
"Rent Burdened Households","Rent Burdened Households","2018","37.9","Percent","Somerville"
"Rent Burdened Households","Rent Burdened Households","2019","38.3","Percent","Somerville"
"Rent Burdened Households","Rent Burdened Households","2020","37.9","Percent","Somerville"
"Rent Burdened Households","Rent Burdened Households","2021","37.2","Percent","Somerville"
"Rent Burdened Households","Rent Burdened Households","2022","36.9","Percent","Somerville"
"Rent Burdened Households","Rent Burdened Households","2023","37.7","Percent","Somerville"
"Rent Burdened Households","Rent Burdened Households","2024","36.2","Percent","Somerville"
"Rent Burdened Households","Rent Burdened Households","2010","50.5","Percent","Massachusetts"
"Rent Burdened Households","Rent Burdened Households","2011","50.4","Percent","Massachusetts"
"Rent Burdened Households","Rent Burdened Households","2012","50.3","Percent","Massachusetts"
"Rent Burdened Households","Rent Burdened Households","2013","50.3","Percent","Massachusetts"
"Rent Burdened Households","Rent Burdened Households","2014","50.5","Percent","Massachusetts"
"Rent Burdened Households","Rent Burdened Households","2015","50.6","Percent","Massachusetts"
"Rent Burdened Households","Rent Burdened Households","2016","50.1","Percent","Massachusetts"
"Rent Burdened Households","Rent Burdened Households","2017","50.1","Percent","Massachusetts"
"Rent Burdened Households","Rent Burdened Households","2018","49.9","Percent","Massachusetts"
"Rent Burdened Households","Rent Burdened Households","2019","49.5","Percent","Massachusetts"
"Rent Burdened Households","Rent Burdened Households","2020","48.9","Percent","Massachusetts"
"Rent Burdened Households","Rent Burdened Households","2021","49.4","Percent","Massachusetts"
"Rent Burdened Households","Rent Burdened Households","2022","50.2","Percent","Massachusetts"
"Rent Burdened Households","Rent Burdened Households","2023","51","Percent","Massachusetts"
"Rent Burdened Households","Rent Burdened Households","2024","51.8","Percent","Massachusetts"
"Age of Housing Stock","Built 1939 or earlier","2024","59","Percent","Somerville"
"Age of Housing Stock","Built 1940 to 1979","2024","21","Percent","Somerville"
"Age of Housing Stock","Built 1980 or later","2024","20","Percent","Somerville"
"Age of Housing Stock","Built 1939 or earlier","2024","31","Percent","Massachusetts"
"Age of Housing Stock","Built 1940 to 1979","2024","37","Percent","Massachusetts"
"Age of Housing Stock","Built 1980 or later","2024","33","Percent","Massachusetts"
"Vacancy Rate","Vacant","2010","5.7","Percent","Somerville"
"Vacancy Rate","Vacant","2010","9.8","Percent","Massachusetts"
"Vacancy Rate","Vacant","2011","4.5","Percent","Somerville"
"Vacancy Rate","Vacant","2011","9.9","Percent","Massachusetts"
"Vacancy Rate","Vacant","2012","3.7","Percent","Somerville"
"Vacancy Rate","Vacant","2012","9.9","Percent","Massachusetts"
"Vacancy Rate","Vacant","2013","3.7","Percent","Somerville"
"Vacancy Rate","Vacant","2013","9.9","Percent","Massachusetts"
"Vacancy Rate","Vacant","2014","3.8","Percent","Somerville"
"Vacancy Rate","Vacant","2014","9.9","Percent","Massachusetts"
"Vacancy Rate","Vacant","2015","3.4","Percent","Somerville"
"Vacancy Rate","Vacant","2015","9.8","Percent","Massachusetts"
"Vacancy Rate","Vacant","2016","4.2","Percent","Somerville"
"Vacancy Rate","Vacant","2016","9.8","Percent","Massachusetts"
"Vacancy Rate","Vacant","2017","4.7","Percent","Somerville"
"Vacancy Rate","Vacant","2017","9.7","Percent","Massachusetts"
"Vacancy Rate","Vacant","2018","4.7","Percent","Somerville"
"Vacancy Rate","Vacant","2018","9.7","Percent","Massachusetts"
"Vacancy Rate","Vacant","2019","5.3","Percent","Somerville"
"Vacancy Rate","Vacant","2019","9.7","Percent","Massachusetts"
"Vacancy Rate","Vacant","2020","5.8","Percent","Somerville"
"Vacancy Rate","Vacant","2020","9.1","Percent","Massachusetts"
"Vacancy Rate","Vacant","2021","5.9","Percent","Somerville"
"Vacancy Rate","Vacant","2021","8.9","Percent","Massachusetts"
"Vacancy Rate","Vacant","2022","5.4","Percent","Somerville"
"Vacancy Rate","Vacant","2022","8.6","Percent","Massachusetts"
"Vacancy Rate","Vacant","2023","5.7","Percent","Somerville"
"Vacancy Rate","Vacant","2023","8.4","Percent","Massachusetts"
"Vacancy Rate","Vacant","2024","5.4","Percent","Somerville"
"Vacancy Rate","Vacant","2024","8.1","Percent","Massachusetts"
"Commute Mode","Car, truck, or van","2024","34.6","Percent","Somerville"
"Commute Mode","Public transportation","2024","19.3","Percent","Somerville"
"Commute Mode","Walked","2024","8.5","Percent","Somerville"
"Commute Mode","Bicycle","2024","5.4","Percent","Somerville"
"Commute Mode","Taxi or ride-hailing services, motorcycle, or other means","2024","0.8","Percent","Somerville"
"Commute Mode","Worked from home","2024","31.3","Percent","Somerville"
"Commute Mode","Car, truck, or van","2024","68.1","Percent","Massachusetts"
"Commute Mode","Public transportation","2024","6.5","Percent","Massachusetts"
"Commute Mode","Walked","2024","4.1","Percent","Massachusetts"
"Commute Mode","Bicycle","2024","0.8","Percent","Massachusetts"
"Commute Mode","Taxi or ride-hailing services, motorcycle, or other means","2024","1.8","Percent","Massachusetts"
"Commute Mode","Worked from home","2024","18.6","Percent","Massachusetts"
"Commute Mode Over Time","Car, truck, or van","2011","50","Percent","Somerville"
"Commute Mode Over Time","Not car, truck, or van","2011","50","Percent","Somerville"
"Commute Mode Over Time","Car, truck, or van","2011","81","Percent","Massachusetts"
"Commute Mode Over Time","Not car, truck, or van","2011","19","Percent","Massachusetts"
"Commute Mode Over Time","Car, truck, or van","2012","51","Percent","Somerville"
"Commute Mode Over Time","Not car, truck, or van","2012","49","Percent","Somerville"
"Commute Mode Over Time","Car, truck, or van","2012","80","Percent","Massachusetts"
"Commute Mode Over Time","Not car, truck, or van","2012","20","Percent","Massachusetts"
"Commute Mode Over Time","Car, truck, or van","2013","50","Percent","Somerville"
"Commute Mode Over Time","Not car, truck, or van","2013","50","Percent","Somerville"
"Commute Mode Over Time","Car, truck, or van","2013","80","Percent","Massachusetts"
"Commute Mode Over Time","Not car, truck, or van","2013","20","Percent","Massachusetts"
"Commute Mode Over Time","Car, truck, or van","2014","48","Percent","Somerville"
"Commute Mode Over Time","Not car, truck, or van","2014","52","Percent","Somerville"
"Commute Mode Over Time","Car, truck, or van","2014","80","Percent","Massachusetts"
"Commute Mode Over Time","Not car, truck, or van","2014","20","Percent","Massachusetts"
"Commute Mode Over Time","Car, truck, or van","2015","47","Percent","Somerville"
"Commute Mode Over Time","Not car, truck, or van","2015","53","Percent","Somerville"
"Commute Mode Over Time","Car, truck, or van","2015","79","Percent","Massachusetts"
"Commute Mode Over Time","Not car, truck, or van","2015","21","Percent","Massachusetts"
"Commute Mode Over Time","Car, truck, or van","2016","45","Percent","Somerville"
"Commute Mode Over Time","Not car, truck, or van","2016","55","Percent","Somerville"
"Commute Mode Over Time","Car, truck, or van","2016","79","Percent","Massachusetts"
"Commute Mode Over Time","Not car, truck, or van","2016","21","Percent","Massachusetts"
"Commute Mode Over Time","Car, truck, or van","2017","44","Percent","Somerville"
"Commute Mode Over Time","Not car, truck, or van","2017","56","Percent","Somerville"
"Commute Mode Over Time","Car, truck, or van","2017","78","Percent","Massachusetts"
"Commute Mode Over Time","Not car, truck, or van","2017","22","Percent","Massachusetts"
"Commute Mode Over Time","Car, truck, or van","2018","41","Percent","Somerville"
"Commute Mode Over Time","Not car, truck, or van","2018","59","Percent","Somerville"
"Commute Mode Over Time","Car, truck, or van","2018","78","Percent","Massachusetts"
"Commute Mode Over Time","Not car, truck, or van","2018","22","Percent","Massachusetts"
"Commute Mode Over Time","Car, truck, or van","2019","42","Percent","Somerville"
"Commute Mode Over Time","Not car, truck, or van","2019","58","Percent","Somerville"
"Commute Mode Over Time","Car, truck, or van","2019","77","Percent","Massachusetts"
"Commute Mode Over Time","Not car, truck, or van","2019","23","Percent","Massachusetts"
"Commute Mode Over Time","Car, truck, or van","2020","39","Percent","Somerville"
"Commute Mode Over Time","Not car, truck, or van","2020","61","Percent","Somerville"
"Commute Mode Over Time","Car, truck, or van","2020","75","Percent","Massachusetts"
"Commute Mode Over Time","Not car, truck, or van","2020","25","Percent","Massachusetts"
"Commute Mode Over Time","Car, truck, or van","2021","38","Percent","Somerville"
"Commute Mode Over Time","Not car, truck, or van","2021","62","Percent","Somerville"
"Commute Mode Over Time","Car, truck, or van","2021","73","Percent","Massachusetts"
"Commute Mode Over Time","Not car, truck, or van","2021","27","Percent","Massachusetts"
"Commute Mode Over Time","Car, truck, or van","2022","36","Percent","Somerville"
"Commute Mode Over Time","Not car, truck, or van","2022","64","Percent","Somerville"
"Commute Mode Over Time","Car, truck, or van","2022","71","Percent","Massachusetts"
"Commute Mode Over Time","Not car, truck, or van","2022","29","Percent","Massachusetts"
"Commute Mode Over Time","Car, truck, or van","2023","35","Percent","Somerville"
"Commute Mode Over Time","Not car, truck, or van","2023","65","Percent","Somerville"
"Commute Mode Over Time","Car, truck, or van","2023","70","Percent","Massachusetts"
"Commute Mode Over Time","Not car, truck, or van","2023","30","Percent","Massachusetts"
"Commute Mode Over Time","Car, truck, or van","2024","35","Percent","Somerville"
"Commute Mode Over Time","Not car, truck, or van","2024","65","Percent","Somerville"
"Commute Mode Over Time","Car, truck, or van","2024","68","Percent","Massachusetts"
"Commute Mode Over Time","Not car, truck, or van","2024","32","Percent","Massachusetts"
"Commute Mode","Mean Travel Time to Work","2010","28.8","Minutes","Somerville"
"Commute Mode","Mean Travel Time to Work","2010","27.3","Minutes","Massachusetts"
"Commute Mode","Mean Travel Time to Work","2011","28.4","Minutes","Somerville"
"Commute Mode","Mean Travel Time to Work","2011","27.5","Minutes","Massachusetts"
"Commute Mode","Mean Travel Time to Work","2012","28.2","Minutes","Somerville"
"Commute Mode","Mean Travel Time to Work","2012","27.7","Minutes","Massachusetts"
"Commute Mode","Mean Travel Time to Work","2013","29","Minutes","Somerville"
"Commute Mode","Mean Travel Time to Work","2013","28","Minutes","Massachusetts"
"Commute Mode","Mean Travel Time to Work","2014","29.2","Minutes","Somerville"
"Commute Mode","Mean Travel Time to Work","2014","28.3","Minutes","Massachusetts"
"Commute Mode","Mean Travel Time to Work","2015","29.7","Minutes","Somerville"
"Commute Mode","Mean Travel Time to Work","2015","28.7","Minutes","Massachusetts"
"Commute Mode","Mean Travel Time to Work","2016","30.8","Minutes","Somerville"
"Commute Mode","Mean Travel Time to Work","2016","29","Minutes","Massachusetts"
"Commute Mode","Mean Travel Time to Work","2017","31.6","Minutes","Somerville"
"Commute Mode","Mean Travel Time to Work","2017","29.3","Minutes","Massachusetts"
"Commute Mode","Mean Travel Time to Work","2018","32","Minutes","Somerville"
"Commute Mode","Mean Travel Time to Work","2018","29.7","Minutes","Massachusetts"
"Commute Mode","Mean Travel Time to Work","2019","32.6","Minutes","Somerville"
"Commute Mode","Mean Travel Time to Work","2019","30.2","Minutes","Massachusetts"
"Commute Mode","Mean Travel Time to Work","2020","32.3","Minutes","Somerville"
"Commute Mode","Mean Travel Time to Work","2020","30","Minutes","Massachusetts"
"Commute Mode","Mean Travel Time to Work","2021","32","Minutes","Somerville"
"Commute Mode","Mean Travel Time to Work","2021","29.6","Minutes","Massachusetts"
"Commute Mode","Mean Travel Time to Work","2022","31.3","Minutes","Somerville"
"Commute Mode","Mean Travel Time to Work","2022","29.4","Minutes","Massachusetts"
"Commute Mode","Mean Travel Time to Work","2023","30.7","Minutes","Somerville"
"Commute Mode","Mean Travel Time to Work","2023","29.3","Minutes","Massachusetts"
"Commute Mode","Mean Travel Time to Work","2024","31","Minutes","Somerville"
"Commute Mode","Mean Travel Time to Work","2024","29.1","Minutes","Massachusetts"
"Commute Time","Less than 15 minutes","2022","11","Percent","Somerville"
"Commute Time","Less than 15 minutes","2022","24.6","Percent","Massachusetts"
"Commute Time","15 to 30 minutes","2022","32.1","Percent","Somerville"
"Commute Time","15 to 30 minutes","2022","33.9","Percent","Massachusetts"
"Commute Time","30 to 45 minutes","2022","34.3","Percent","Somerville"
"Commute Time","30 to 45 minutes","2022","21.7","Percent","Massachusetts"
"Commute Time","45 to 60 minutes","2022","13.9","Percent","Somerville"
"Commute Time","45 to 60 minutes","2022","9.6","Percent","Massachusetts"
"Commute Time","60 or more minutes","2022","8.7","Percent","Somerville"
"Commute Time","60 or more minutes","2022","10.3","Percent","Massachusetts"
"Place of Work","Worked in Person","2011","96.7","Percent","Somerville"
"Place of Work","Worked in Person","2012","97.2","Percent","Somerville"
"Place of Work","Worked in Person","2013","96.9","Percent","Somerville"
"Place of Work","Worked in Person","2014","96.1","Percent","Somerville"
"Place of Work","Worked in Person","2015","96.1","Percent","Somerville"
"Place of Work","Worked in Person","2016","95.9","Percent","Somerville"
"Place of Work","Worked in Person","2017","95.6","Percent","Somerville"
"Place of Work","Worked in Person","2018","95.1","Percent","Somerville"
"Place of Work","Worked in Person","2019","95.4","Percent","Somerville"
"Place of Work","Worked in Person","2020","87.2","Percent","Somerville"
"Place of Work","Worked in Person","2021","81.2","Percent","Somerville"
"Place of Work","Worked in Person","2022","75.2","Percent","Somerville"
"Place of Work","Worked in Person","2023","71.1","Percent","Somerville"
"Place of Work","Worked in Person","2024","68.6","Percent","Somerville"
"Place of Work","Worked in Person","2011","95.7","Percent","Massachusetts"
"Place of Work","Worked in Person","2012","95.7","Percent","Massachusetts"
"Place of Work","Worked in Person","2013","95.5","Percent","Massachusetts"
"Place of Work","Worked in Person","2014","95.6","Percent","Massachusetts"
"Place of Work","Worked in Person","2015","95.5","Percent","Massachusetts"
"Place of Work","Worked in Person","2016","95.4","Percent","Massachusetts"
"Place of Work","Worked in Person","2017","95","Percent","Massachusetts"
"Place of Work","Worked in Person","2018","94.9","Percent","Massachusetts"
"Place of Work","Worked in Person","2019","94.9","Percent","Massachusetts"
"Place of Work","Worked in Person","2020","91.7","Percent","Massachusetts"
"Place of Work","Worked in Person","2021","88.2","Percent","Massachusetts"
"Place of Work","Worked in Person","2022","85.4","Percent","Massachusetts"
"Place of Work","Worked in Person","2023","83.2","Percent","Massachusetts"
"Place of Work","Worked in Person","2024","81.3","Percent","Massachusetts"
"Place of Work","Worked from home","2011","3.2","Percent","Somerville"
"Place of Work","Worked from home","2012","2.9","Percent","Somerville"
"Place of Work","Worked from home","2013","3.1","Percent","Somerville"
"Place of Work","Worked from home","2014","3.9","Percent","Somerville"
"Place of Work","Worked from home","2015","3.8","Percent","Somerville"
"Place of Work","Worked from home","2016","4","Percent","Somerville"
"Place of Work","Worked from home","2017","4.4","Percent","Somerville"
"Place of Work","Worked from home","2018","4.8","Percent","Somerville"
"Place of Work","Worked from home","2019","4.5","Percent","Somerville"
"Place of Work","Worked from home","2020","12.7","Percent","Somerville"
"Place of Work","Worked from home","2021","18.8","Percent","Somerville"
"Place of Work","Worked from home","2022","24.8","Percent","Somerville"
"Place of Work","Worked from home","2023","29","Percent","Somerville"
"Place of Work","Worked from home","2024","31.3","Percent","Somerville"
"Place of Work","Worked from home","2011","4.2","Percent","Massachusetts"
"Place of Work","Worked from home","2012","4.2","Percent","Massachusetts"
"Place of Work","Worked from home","2013","4.3","Percent","Massachusetts"
"Place of Work","Worked from home","2014","4.4","Percent","Massachusetts"
"Place of Work","Worked from home","2015","4.5","Percent","Massachusetts"
"Place of Work","Worked from home","2016","4.7","Percent","Massachusetts"
"Place of Work","Worked from home","2017","4.9","Percent","Massachusetts"
"Place of Work","Worked from home","2018","5","Percent","Massachusetts"
"Place of Work","Worked from home","2019","5.2","Percent","Massachusetts"
"Place of Work","Worked from home","2020","8.3","Percent","Massachusetts"
"Place of Work","Worked from home","2021","11.9","Percent","Massachusetts"
"Place of Work","Worked from home","2022","14.6","Percent","Massachusetts"
"Place of Work","Worked from home","2023","16.7","Percent","Massachusetts"
"Place of Work","Worked from home","2024","18.6","Percent","Massachusetts"
