"Topic","Description","Year","Value","Units","Geography"
"Disability Characteristics","With a vision difficulty","2024","1.9","Percent","Massachusetts"
"Disability Characteristics","With a cognitive difficulty","2024","5.6","Percent","Massachusetts"
"Disability Characteristics","With an ambulatory difficulty","2024","5.8","Percent","Massachusetts"
"Disability Characteristics","With a self-care difficulty","2024","2.5","Percent","Massachusetts"
"Disability Characteristics","With an independent living difficulty","2024","5.7","Percent","Massachusetts"
"Educational Attainment","Bachelor's degree or higher","2010","52.3","Percent","Somerville"
"Educational Attainment","Bachelor's degree or higher","2010","38.3","Percent","Massachusetts"
"Educational Attainment","Bachelor's degree or higher","2011","52.8","Percent","Somerville"
"Educational Attainment","Bachelor's degree or higher","2011","38.7","Percent","Massachusetts"
"Educational Attainment","Bachelor's degree or higher","2012","53.3","Percent","Somerville"
"Educational Attainment","Bachelor's degree or higher","2012","39","Percent","Massachusetts"
"Educational Attainment","Bachelor's degree or higher","2013","53.2","Percent","Somerville"
"Educational Attainment","Bachelor's degree or higher","2013","39.4","Percent","Massachusetts"
"Educational Attainment","Bachelor's degree or higher","2014","55.5","Percent","Somerville"
"Educational Attainment","Bachelor's degree or higher","2014","40","Percent","Massachusetts"
"Educational Attainment","Bachelor's degree or higher","2015","57.3","Percent","Somerville"
"Educational Attainment","Bachelor's degree or higher","2015","40.5","Percent","Massachusetts"
"Educational Attainment","Bachelor's degree or higher","2016","58.6","Percent","Somerville"
"Educational Attainment","Bachelor's degree or higher","2016","41.2","Percent","Massachusetts"
"Educational Attainment","Bachelor's degree or higher","2017","61.2","Percent","Somerville"
"Educational Attainment","Bachelor's degree or higher","2017","42.1","Percent","Massachusetts"
"Educational Attainment","Bachelor's degree or higher","2018","64","Percent","Somerville"
"Educational Attainment","Bachelor's degree or higher","2018","42.9","Percent","Massachusetts"
"Educational Attainment","Bachelor's degree or higher","2019","64.4","Percent","Somerville"
"Educational Attainment","Bachelor's degree or higher","2019","43.7","Percent","Massachusetts"
"Educational Attainment","Bachelor's degree or higher","2020","65.7","Percent","Somerville"
"Educational Attainment","Bachelor's degree or higher","2020","44.5","Percent","Massachusetts"
"Educational Attainment","Bachelor's degree or higher","2021","65.9","Percent","Somerville"
"Educational Attainment","Bachelor's degree or higher","2021","45.2","Percent","Massachusetts"
"Educational Attainment","Bachelor's degree or higher","2022","67.2","Percent","Somerville"
"Educational Attainment","Bachelor's degree or higher","2022","45.9","Percent","Massachusetts"
"Educational Attainment","Bachelor's degree or higher","2023","68","Percent","Somerville"
"Educational Attainment","Bachelor's degree or higher","2023","46.6","Percent","Massachusetts"
"Educational Attainment","Bachelor's degree or higher","2024","69.4","Percent","Somerville"
"Educational Attainment","Bachelor's degree or higher","2024","47.3","Percent","Massachusetts"
"Race & Ethnicity","White alone","2024","66","Percent","Somerville"
"Race & Ethnicity","Black or African American alone","2024","4","Percent","Somerville"
"Race & Ethnicity","Some other race alone","2024","1","Percent","Somerville"
"Race & Ethnicity","Two or more races:","2024","6","Percent","Somerville"
"Race & Ethnicity","Hispanic or Latino:","2024","11","Percent","Somerville"
"Race & Ethnicity","Asian or Pacific Islander alone","2024","12","Percent","Somerville"
"Race & Ethnicity","White alone","2024","67","Percent","Massachusetts"
"Race & Ethnicity","Black or African American alone","2024","6","Percent","Massachusetts"
"Race & Ethnicity","Some other race alone","2024","1","Percent","Massachusetts"
"Race & Ethnicity","Two or more races:","2024","5","Percent","Massachusetts"
"Race & Ethnicity","Hispanic or Latino:","2024","13","Percent","Massachusetts"
"Race & Ethnicity","Asian or Pacific Islander alone","2024","7","Percent","Massachusetts"
"Foreigner-Born Residents","Foreign born","2010","26.8","Percent","Somerville"
"Foreigner-Born Residents","Foreign born","2010","14.5","Percent","Massachusetts"
"Foreigner-Born Residents","Foreign born","2011","26","Percent","Somerville"
"Foreigner-Born Residents","Foreign born","2011","14.7","Percent","Massachusetts"
"Foreigner-Born Residents","Foreign born","2012","25.5","Percent","Somerville"
"Foreigner-Born Residents","Foreign born","2012","14.8","Percent","Massachusetts"
"Foreigner-Born Residents","Foreign born","2013","25.1","Percent","Somerville"
"Foreigner-Born Residents","Foreign born","2013","15","Percent","Massachusetts"
"Foreigner-Born Residents","Foreign born","2014","24.3","Percent","Somerville"
"Foreigner-Born Residents","Foreign born","2014","15.3","Percent","Massachusetts"
"Foreigner-Born Residents","Foreign born","2015","24.7","Percent","Somerville"
"Foreigner-Born Residents","Foreign born","2015","15.5","Percent","Massachusetts"
"Foreigner-Born Residents","Foreign born","2016","24.7","Percent","Somerville"
"Foreigner-Born Residents","Foreign born","2016","15.7","Percent","Massachusetts"
"Foreigner-Born Residents","Foreign born","2017","24.4","Percent","Somerville"
"Foreigner-Born Residents","Foreign born","2017","16.2","Percent","Massachusetts"
"Foreigner-Born Residents","Foreign born","2018","24","Percent","Somerville"
"Foreigner-Born Residents","Foreign born","2018","16.5","Percent","Massachusetts"
"Foreigner-Born Residents","Foreign born","2019","25","Percent","Somerville"
"Foreigner-Born Residents","Foreign born","2019","16.8","Percent","Massachusetts"
"Foreigner-Born Residents","Foreign born","2020","23.9","Percent","Somerville"
"Foreigner-Born Residents","Foreign born","2020","16.9","Percent","Massachusetts"
"Foreigner-Born Residents","Foreign born","2021","24.2","Percent","Somerville"
"Foreigner-Born Residents","Foreign born","2021","17.3","Percent","Massachusetts"
"Foreigner-Born Residents","Foreign born","2022","23.7","Percent","Somerville"
"Foreigner-Born Residents","Foreign born","2022","17.6","Percent","Massachusetts"
"Foreigner-Born Residents","Foreign born","2023","24.8","Percent","Somerville"
"Foreigner-Born Residents","Foreign born","2023","17.7","Percent","Massachusetts"
"Foreigner-Born Residents","Foreign born","2024","24","Percent","Somerville"
"Foreigner-Born Residents","Foreign born","2024","18","Percent","Massachusetts"
"Language Speakers","Speak only English","2024","71.4","Percent","Somerville"
"Language Speakers","Spanish","2024","8.9","Percent","Somerville"
"Language Speakers","Other Indo-European languages","2024","13.1","Percent","Somerville"
"Language Speakers","Asian and Pacific Island languages","2024","4.9","Percent","Somerville"
"Language Speakers","Other languages","2024","1.7","Percent","Somerville"
"Language Speakers","Speak only English","2024","74.9","Percent","Massachusetts"
"Language Speakers","Spanish","2024","9.7","Percent","Massachusetts"
"Language Speakers","Other Indo-European languages","2024","9.3","Percent","Massachusetts"
"Language Speakers","Asian and Pacific Island languages","2024","4.5","Percent","Massachusetts"
"Language Speakers","Other languages","2024","1.7","Percent","Massachusetts"
"Language Use Overtime","Speak only English","2010","67.4","Percent","Somerville"
"Language Use Overtime","Spanish","2010","8.6","Percent","Somerville"
"Language Use Overtime","Other Indo-European languages","2010","18.7","Percent","Somerville"
"Language Use Overtime","Asian and Pacific Island languages","2010","4.4","Percent","Somerville"
"Language Use Overtime","Other languages","2010","0.9","Percent","Somerville"
"Language Use Overtime","Speak only English","2011","67.7","Percent","Somerville"
"Language Use Overtime","Spanish","2011","9","Percent","Somerville"
"Language Use Overtime","Other Indo-European languages","2011","17.6","Percent","Somerville"
"Language Use Overtime","Asian and Pacific Island languages","2011","4.5","Percent","Somerville"
"Language Use Overtime","Other languages","2011","1.2","Percent","Somerville"
"Language Use Overtime","Speak only English","2012","67.5","Percent","Somerville"
"Language Use Overtime","Spanish","2012","8.4","Percent","Somerville"
"Language Use Overtime","Other Indo-European languages","2012","17.9","Percent","Somerville"
"Language Use Overtime","Asian and Pacific Island languages","2012","5","Percent","Somerville"
"Language Use Overtime","Other languages","2012","1.2","Percent","Somerville"
"Language Use Overtime","Speak only English","2013","67.9","Percent","Somerville"
"Language Use Overtime","Spanish","2013","8.6","Percent","Somerville"
"Language Use Overtime","Other Indo-European languages","2013","17.5","Percent","Somerville"
"Language Use Overtime","Asian and Pacific Island languages","2013","4.7","Percent","Somerville"
"Language Use Overtime","Other languages","2013","1.2","Percent","Somerville"
"Language Use Overtime","Speak only English","2014","68.8","Percent","Somerville"
"Language Use Overtime","Spanish","2014","7.4","Percent","Somerville"
"Language Use Overtime","Other Indo-European languages","2014","17.7","Percent","Somerville"
