address,street,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio Address Line 4","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State / Province","Geocodio Nation","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Building Name","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"534 Mystic Avenue, Somerville MA 02145","Mystic Avenue 356-End",42.397417,-71.091917,0.91,nearest_rooftop_match,"530 Mystic Ave",,"Somerville, MA 02145",,530,"Mystic Ave",,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnf77fujnklbm87psw386t5xm6r9,building_centroid
"46 Ten Hills Road, Somerville MA 02145","Ten Hills Road",42.396074,-71.085687,1,rooftop,"46 10 Hills Rd",,"Somerville, MA 02145",,46,"10 Hills Rd",,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnznzdznsjhmgqgqpstwx4nqj8qh,building_centroid
