address,street,num,school
"55 Dover Street, Somerville MA",Dover Street,55,WEST SOMERVILLE
"76 Dover Street, Somerville MA",Dover Street,76,WEST SOMERVILLE
"97 Dover Street, Somerville MA",Dover Street,97,WEST SOMERVILLE
