address,street,num,school,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio Address Line 4","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State / Province","Geocodio Nation","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Building Name","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"5 Upland Road, Somerville MA","Upland Road",5,"WEST SOMERVILLE",42.409232,-71.123849,1,rooftop,"5 Upland Rd",,"Somerville, MA 02144",,5,"Upland Rd",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn4wrpppr78nxa76a97zszhgtx48,building_centroid
"32 Upland Road, Somerville MA","Upland Road",32,"WEST SOMERVILLE",42.409237,-71.124844,1,rooftop,"32 Upland Rd",,"Somerville, MA 02144",,32,"Upland Rd",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn4wrpppr78nxa7nuy5wep9pdp4b,building_centroid
"58 Upland Road, Somerville MA","Upland Road",58,"WEST SOMERVILLE",42.409547,-71.125791,1,rooftop,"58 Upland Rd",,"Somerville, MA 02144",,58,"Upland Rd",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn4wrpppr78nxa7gdqtg4y7yhlad,building_centroid
"6 Hillside Circle, Somerville MA","Hillside Circle",6,KENNEDY,42.388306,-71.11124,1,rooftop,"6 Hillside Cir",,"Somerville, MA 02143",,6,"Hillside Cir",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnfgsyvwrpmzr56suj3zgtcybaz9,building_centroid
"7 Ware Street, Somerville MA","Ware Street",7,"WEST SOMERVILLE",42.405106,-71.126653,1,rooftop,"7 Ware St",,"Somerville, MA 02144",,7,"Ware St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnmdethb3guasq9kemy8yv5ghaxg,building_centroid
"28 Ware Street, Somerville MA","Ware Street",28,"WEST SOMERVILLE",42.405195,-71.127811,1,rooftop,"28 Ware St",,"Somerville, MA 02144",,28,"Ware St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnmdethb3guasq9qg2s9kezflcv6,building_centroid
"48 Ware Street, Somerville MA","Ware Street",48,"WEST SOMERVILLE",42.405545,-71.128544,1,rooftop,"48 Ware St",,"Somerville, MA 02144",,48,"Ware St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnmdethb3guasq93wg8ldg35mbc7,building_centroid
"2 West Street, Somerville MA","West Street",2,KENNEDY,42.394487,-71.119114,1,rooftop,"2 West St",,"Somerville, MA 02144",,2,"West St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn8tky8cpdx4tye3u8y9ywd4t7s9,building_centroid
"12 West Street, Somerville MA","West Street",12,KENNEDY,42.394291,-71.118843,1,range_interpolation,"12 West St",,"Somerville, MA 02144",,12,"West St",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_usn8tky8cpdx4tyeqbeuq97gaaypd,
"5 Adams Street, Somerville MA","Adams Street",5,"WINTER HILL",42.393321,-71.100881,1,rooftop,"5 Adams St",,"Somerville, MA 02145",,5,"Adams St",,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn8vkgtyraadvjgep4bgvyyaga3d,building_centroid
