address,street,num,lat,lon,zone_k5_assigned,school_k5_assigned,walk_min_to_assigned,straight_line_to_assigned_mi,closest_school_by_straight_line,closest_straight_line_mi,margin_mi,is_mismatch,is_high_confidence_mismatch,dist_to_Brown_mi,dist_to_Kennedy_mi,dist_to_WestSomerville_mi,dist_to_WinterHill_mi,dist_to_Healey_mi,dist_to_Argenziano_mi,dist_to_EastSomerville_mi,dest_6_8_assigned,dest_6_8_closest_candidate,dest_6_8_closest_mi,dest_6_8_margin_mi,dest_6_8_is_mismatch
"32 Appleton Street, Somerville MA 02144",Appleton Street,32,42.397043,-71.117584,Brown,Brown,7,0.1832,Brown,0.1832,0.0,False,False,0.1832,0.5393,0.7764,1.0281,1.1345,1.5749,1.751,West Somerville,Kennedy,0.5393,0.2371,True
"34 Appleton Street, Somerville MA 02144",Appleton Street,34,42.397147,-71.11706,Brown,Brown,6,0.156,Brown,0.156,0.0,False,False,0.156,0.5418,0.7866,1.0059,1.1076,1.5644,1.7276,West Somerville,Kennedy,0.5418,0.2448,True
"7 Bay State Avenue, Somerville MA 02144",Bay State Avenue,7,42.400375,-71.114788,Brown,Brown,7,0.216,Brown,0.216,0.0,False,False,0.216,0.7601,0.7177,1.0138,1.0106,1.6886,1.7009,West Somerville,West Somerville,0.7177,0.0,False
"22 Bay State Avenue, Somerville MA 02144",Bay State Avenue,22,42.39995,-71.114981,Brown,Brown,6,0.1896,Brown,0.1896,0.0,False,False,0.1896,0.7303,0.7266,1.0047,1.015,1.6679,1.6974,West Somerville,West Somerville,0.7266,0.0,False
"37 Bay State Avenue, Somerville MA 02144",Bay State Avenue,37,42.399397,-71.115436,Brown,Brown,5,0.162,Brown,0.162,0.0,False,False,0.162,0.6916,0.7318,1.0031,1.0325,1.6468,1.7032,West Somerville,Kennedy,0.6916,0.0402,True
"52 Bay State Avenue, Somerville MA 02144",Bay State Avenue,52,42.398842,-71.115297,Brown,Brown,5,0.125,Brown,0.125,0.0,False,False,0.125,0.6533,0.7621,0.9771,1.0213,1.6104,1.682,West Somerville,Kennedy,0.6533,0.1088,True
"67 Bay State Avenue, Somerville MA 02144",Bay State Avenue,67,42.398326,-71.11571,Brown,Brown,3,0.1119,Brown,0.1119,0.0,False,False,0.1119,0.6176,0.7711,0.978,1.0398,1.5917,1.6887,West Somerville,Kennedy,0.6176,0.1535,True
"69 Bay State Avenue, Somerville MA 02144",Bay State Avenue,69,42.398516,-71.116152,Brown,Brown,4,0.1378,Brown,0.1378,0.0,False,False,0.1378,0.6315,0.7459,1.0041,1.0631,1.615,1.7145,West Somerville,Kennedy,0.6315,0.1144,True
"7 Bellevue Terrace, Somerville MA 02144",Bellevue Terrace,7,42.392728,-71.109314,Brown,Brown,13,0.3966,Kennedy,0.392,0.0046,True,False,0.3966,0.392,1.276,0.5417,0.7855,1.0912,1.2717,Winter Hill,Kennedy,0.392,0.1497,True
"10 Bellevue Terrace, Somerville MA 02144",Bellevue Terrace,10,42.392819,-71.109578,Brown,Brown,13,0.3835,Brown,0.3835,0.0,False,False,0.3835,0.385,1.2622,0.5559,0.7952,1.1033,1.286,Winter Hill,Kennedy,0.385,0.1709,True
"1 Boston Avenue, Somerville MA 02144",Boston Avenue,1,42.394851,-71.111016,Brown,Brown,8,0.2281,Brown,0.2281,0.0,False,False,0.2281,0.442,1.1103,0.6612,0.82,1.2616,1.3873,West Somerville,Kennedy,0.442,0.6683,True
"16 Boston Avenue, Somerville MA 02144",Boston Avenue,16,42.395244,-71.111197,Brown,Brown,7,0.202,Brown,0.202,0.0,False,False,0.202,0.4609,1.0847,0.6793,0.8234,1.2898,1.4034,West Somerville,Kennedy,0.4609,0.6238,True
"31 Boston Avenue, Somerville MA 02144",Boston Avenue,31,42.395548,-71.110541,Brown,Brown,9,0.2145,Brown,0.2145,0.0,False,False,0.2145,0.4958,1.0948,0.6565,0.7866,1.292,1.3771,West Somerville,Kennedy,0.4958,0.599,True
"46 Boston Avenue, Somerville MA 02144",Boston Avenue,46,42.396059,-71.110652,Brown,Brown,5,0.1917,Brown,0.1917,0.0,False,False,0.1917,0.5237,1.0671,0.6768,0.7869,1.3259,1.3932,West Somerville,Kennedy,0.5237,0.5434,True
"61 Boston Avenue, Somerville MA 02144",Boston Avenue,61,42.396525,-71.110267,Brown,Brown,5,0.1984,Brown,0.1984,0.0,False,False,0.1984,0.5613,1.0616,0.6747,0.7638,1.3458,1.3851,West Somerville,Kennedy,0.5613,0.5003,True
"76 Boston Avenue, Somerville MA 02144",Boston Avenue,76,42.396821,-71.109701,Brown,Brown,10,0.2224,Brown,0.2224,0.0,False,False,0.2224,0.5933,1.0718,0.6606,0.7334,1.3519,1.3652,West Somerville,Kennedy,0.5933,0.4785,True
"91 Boston Avenue, Somerville MA 02144",Boston Avenue,91,42.397486,-71.109644,Brown,Brown,9,0.2231,Brown,0.2231,0.0,False,False,0.2231,0.6349,1.0471,0.6841,0.7288,1.3927,1.3796,West Somerville,Kennedy,0.6349,0.4122,True
"106 Boston Avenue, Somerville MA 02144",Boston Avenue,106,42.397786,-71.110337,Brown,Brown,7,0.1904,Brown,0.1904,0.0,False,False,0.1904,0.6377,1.0062,0.7249,0.7644,1.4261,1.4202,West Somerville,Kennedy,0.6377,0.3685,True
"121 Boston Avenue, Somerville MA 02144",Boston Avenue,121,42.398465,-71.110313,Brown,Brown,8,0.205,Brown,0.205,0.0,False,False,0.205,0.6812,0.981,0.7523,0.7657,1.4683,1.4381,West Somerville,Kennedy,0.6812,0.2998,True
"136 Boston Avenue, Somerville MA 02144",Boston Avenue,136,42.398904,-71.110708,Brown,Brown,7,0.2016,Brown,0.2016,0.0,False,False,0.2016,0.7019,0.9478,0.787,0.7889,1.5042,1.4693,West Somerville,Kennedy,0.7019,0.2459,True
"151 Boston Avenue, Somerville MA 02144",Boston Avenue,151,42.399248,-71.110928,Brown,Brown,6,0.2069,Brown,0.2069,0.0,False,False,0.2069,0.7205,0.9258,0.8109,0.8032,1.5305,1.4897,West Somerville,Kennedy,0.7205,0.2053,True
"158 Boston Avenue, Somerville MA 02144",Boston Avenue,158,42.399248,-71.111415,Brown,Brown,5,0.1887,Brown,0.1887,0.0,False,False,0.1887,0.7128,0.9046,0.83,0.8277,1.5408,1.5121,West Somerville,Kennedy,0.7128,0.1918,True
"87 Bristol Road, Somerville MA 02145",Bristol Road,87,42.400742,-71.113458,Brown,Brown,7,0.2393,Brown,0.2393,0.0,False,False,0.2393,0.7915,0.7622,0.9761,0.9497,1.6792,1.6515,,,,,
"102 Bristol Road, Somerville MA 02145",Bristol Road,102,42.400092,-71.112711,Brown,Brown,6,0.2038,Brown,0.2038,0.0,False,False,0.2038,0.7534,0.8177,0.9181,0.9028,1.622,1.5971,,,,,
"108 Bristol Road, Somerville MA 02145",Bristol Road,108,42.400239,-71.112549,Brown,Brown,6,0.2162,Brown,0.2162,0.0,False,False,0.2162,0.7649,0.8197,0.9183,0.8968,1.6275,1.5943,,,,,
"585 Broadway, Somerville MA 02144",Broadway,585,42.398499,-71.108497,Brown,Brown,9,0.2932,Brown,0.2932,0.0,False,False,0.2932,0.7245,1.0589,0.684,0.6736,1.4356,1.3556,West Somerville,Winter Hill,0.684,0.3749,True
"600 Broadway, Somerville MA 02144",Broadway,600,42.398513,-71.108838,Brown,Brown,9,0.2768,Brown,0.2768,0.0,False,False,0.2768,0.7168,1.0434,0.6973,0.6911,1.4426,1.3716,West Somerville,Winter Hill,0.6973,0.3461,True
"615 Broadway, Somerville MA 02144",Broadway,615,42.398623,-71.108866,Brown,Brown,9,0.2779,Brown,0.2779,0.0,False,False,0.2779,0.7229,1.0383,0.7035,0.6933,1.4502,1.3763,West Somerville,Winter Hill,0.7035,0.3348,True
"630 Broadway, Somerville MA 02144",Broadway,630,42.399018,-71.109103,Brown,Brown,9,0.277,Brown,0.277,0.0,False,False,0.277,0.7417,1.0143,0.7311,0.7087,1.4801,1.3994,West Somerville,Winter Hill,0.7311,0.2832,True
