address,street,num,school,range_low,range_high,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio Address Line 4","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State / Province","Geocodio Nation","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Building Name","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"5 James Street, Somerville MA","James Street",5,"WINTER HILL",5,18,42.387722,-71.09412,1,range_interpolation,"5 James St",,"Somerville, MA 02145",,5,"James St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usnh5ugxlgkjjxw9sy6wpmxbyuj22,
"18 James Street, Somerville MA","James Street",18,"WINTER HILL",5,18,42.388408,-71.093663,1,rooftop,"18 James St",,"Somerville, MA 02145",,18,"James St",,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnh5ugxlgkjjxw9cu3ytud5vq7aa,building_centroid
