address,street,endpoint,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio Address Line 4","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State / Province","Geocodio Nation","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Building Name","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"1 Boston Avenue, Somerville MA 02144","Boston Avenue",start,42.394851,-71.111016,0.91,nearest_rooftop_match,"5 Boston Ave",,"Somerville, MA 02144",,5,"Boston Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnnlkrc6t9faen32ezy2cwdb9cz3,building_centroid
"158 Boston Avenue, Somerville MA 02144","Boston Avenue",end,42.399248,-71.111415,1,rooftop,"158 Boston Ave",,"Somerville, MA 02144",,158,"Boston Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnnlkrc6t9faen3sah9wqz9hknv9,building_centroid
"87 Bristol Road, Somerville MA 02145","Bristol Road",start,42.400742,-71.113458,0.95,rooftop,"87 Bristol Rd",,"Medford, MA 02155",,87,"Bristol Rd",,,Medford,MA,,"Middlesex County",02155,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn8ugrwjjqeyl5f6pefr4rnhlpm7,building_centroid
"108 Bristol Road, Somerville MA 02145","Bristol Road",end,42.400239,-71.112549,1,rooftop,"108 Bristol Rd",,"Somerville, MA 02144",,108,"Bristol Rd",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnunxdul9grp6ncgq2yy3y97st2g,building_centroid
"585 Broadway, Somerville MA 02144",Broadway,start,42.398499,-71.108497,1,range_interpolation,"585 Broadway",,"Somerville, MA 02145",,585,Broadway,,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usn7nf8e4zglqcw7zgrjf4eybarxe,
"726 Broadway, Somerville MA 02144",Broadway,end,42.400063,-71.113289,1,rooftop,"726 Broadway",,"Somerville, MA 02144",,726,Broadway,,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnjew5xwd3bx596qf67ad8cf3tua,building_centroid
"107 Cedar Street, Somerville MA 02144","Cedar Street",start,42.392443,-71.11204,1,rooftop,"107 Cedar St",,"Somerville, MA 02144",,107,"Cedar St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnwqmw3dzstn7afld5agkmcv7ata,building_centroid
"298 Cedar Street, Somerville MA 02144","Cedar Street",end,42.397096,-71.108745,1,range_interpolation,"298 Cedar St",,"Somerville, MA 02145",,298,"Cedar St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usnm39km53eyflucvzrgr23upgmab,
"1 Clifton Street, Somerville MA 02144","Clifton Street",start,42.396975,-71.117426,1,rooftop,"1 Clifton St",,"Somerville, MA 02144",,1,"Clifton St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnlqh9b4cwzts72umht8g82v7w8f,building_centroid
"14 Clifton Street, Somerville MA 02144","Clifton Street",end,42.396448,-71.117345,1,rooftop,"14 Clifton St",,"Somerville, MA 02144",,14,"Clifton St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnlqh9b4cwzts724beysawnqn6m2,building_centroid
