address,street,endpoint,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio Address Line 4","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State / Province","Geocodio Nation","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Building Name","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"8 Newman Place, Somerville MA 02145","Newman Place",end,42.395702,-71.109472,1,rooftop,"8 Newman Pl",,"Somerville, MA 02145",,8,"Newman Pl",,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn99ez4zu92euy8h4khsk3sjnqn3,building_centroid
"2 Pearson Avenue, Somerville MA 02144","Pearson Avenue",start,42.394875,-71.112552,0.98,range_interpolation,"2 Pearson Ave",,"Somerville, MA 02144",,2,"Pearson Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_usn54qpgmcemh7w6suaj3ynzpgzc9,
"116 Pearson Avenue, Somerville MA 02144","Pearson Avenue",end,42.398218,-71.110742,1,rooftop,"116 Pearson Ave",,"Somerville, MA 02144",,116,"Pearson Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn54qpgmcemh7w6nz3qv7h95rva4,building_centroid
"1 Pearson Road, Somerville MA 02144","Pearson Road",start,42.400712,-71.113871,1,rooftop,"1 Pearson Rd",,"Somerville, MA 02144",,1,"Pearson Rd",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usncftlft3m5hky6mbkz3lu64t7kc,building_centroid
"39 Pearson Road, Somerville MA 02144","Pearson Road",end,42.401859,-71.114583,1,rooftop,"39 Pearson Rd",,"Somerville, MA 02144",,39,"Pearson Rd",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usncftlft3m5hky68vbeyjvfwl6k9,building_centroid
"1 Powder House Terrace, Somerville MA 02144","Powder House Terrace",start,42.39898,-71.117338,1,rooftop,"1 Powder House Ter",,"Somerville, MA 02144",,1,"Powder House Ter",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn8rtgg3ln9xrfew3jyvz5neqbhb,building_centroid
"39 Powder House Terrace, Somerville MA 02144","Powder House Terrace",end,42.399534,-71.116279,1,rooftop,"39 Powder House Ter",,"Somerville, MA 02144",,39,"Powder House Ter",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn8rtgg3ln9xrfe9v6msr6dbd6a5,building_centroid
"5 Prichard Avenue, Somerville MA 02144","Prichard Avenue",start,42.395027,-71.111646,1,rooftop,"5 Prichard Ave",,"Somerville, MA 02144",,5,"Prichard Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnu9h6x4ul6pq5g2p7pu3rgx4jrf,building_centroid
"100 Prichard Avenue, Somerville MA 02144","Prichard Avenue",end,42.397651,-71.110294,0.94,nearest_rooftop_match,"98 Prichard Ave",,"Somerville, MA 02144",,98,"Prichard Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnu9h6x4ul6pq5gjcudkh8qz6af4,building_centroid
"4 Princeton Street, Somerville MA 02145","Princeton Street",start,42.392857,-71.10847,1,range_interpolation,"4 Princeton St",,"Somerville, MA 02144",,4,"Princeton St",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_usnzv8e3myx4pzl638rsawsdcdbd2,
"57 Princeton Street, Somerville MA 02145","Princeton Street",end,42.392921,-71.107325,1,range_interpolation,"57 Princeton St",,"Somerville, MA 02144",,57,"Princeton St",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_usnzv8e3myx4pzl6dvma492dmv5c3,
"2 Rogers Avenue, Somerville MA 02144","Rogers Avenue",start,42.395517,-71.114407,1,rooftop,"2 Rogers Ave",,"Somerville, MA 02144",,2,"Rogers Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnf8zu6wjknw53cn4mfs5x36pkw9,building_centroid
"130 Rogers Avenue, Somerville MA 02144","Rogers Avenue",end,42.39935,-71.111782,1,rooftop,"130 Rogers Ave",,"Somerville, MA 02144",,130,"Rogers Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnf8zu6wjknw53ck7dfcgmesjvt2,building_centroid
"10 Warwick Street, Somerville MA 02145","Warwick Street",start,42.394533,-71.110144,1,rooftop,"10 Warwick St",,"Somerville, MA 02145",,10,"Warwick St",,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usny6lz66z4rssn9rrm62r29wkvud,building_centroid
"94 Warwick Street, Somerville MA 02145","Warwick Street",end,42.393466,-71.108632,1,range_interpolation,"94 Warwick St",,"Somerville, MA 02145",,94,"Warwick St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usny6lz66z4rssn9m52qrf6c4ms2d,
"130 Willow Avenue, Somerville MA 02144","Willow Avenue",start,42.39545,-71.116194,1,rooftop,"130 Willow Ave",,"Somerville, MA 02144",,130,"Willow Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnm9hv77dgkaxc4xslhfhaxkhmw6,building_centroid
"275 Willow Avenue, Somerville MA 02144","Willow Avenue",end,42.399705,-71.112768,1,rooftop,"275 Willow Ave",,"Somerville, MA 02144",,275,"Willow Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnm9hv77dgkaxc4yhwbcza36cl78,building_centroid
"5 Wilson Avenue, Somerville MA 02144","Wilson Avenue",start,42.398399,-71.108965,1,rooftop,"5 Wilson Ave",,"Somerville, MA 02145",,5,"Wilson Ave",,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn7y86dt4cdgby4j3mgsrsveddue,building_centroid
"20 Wilson Avenue, Somerville MA 02144","Wilson Avenue",end,42.397898,-71.10894,1,rooftop,"20 Wilson Ave",,"Somerville, MA 02145",,20,"Wilson Ave",,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn7y86dt4cdgby4ck2z9sgw687x8,building_centroid
"11 Winslow Avenue, Somerville MA 02144","Winslow Avenue",start,42.397053,-71.121142,1,rooftop,"11 Winslow Ave",,"Somerville, MA 02144",,11,"Winslow Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnj4yalstsjq856xrecpnk7dcdwh,building_centroid
"99 Winslow Avenue, Somerville MA 02144","Winslow Avenue",end,42.395953,-71.118226,0.94,nearest_rooftop_match,"97 Winslow Ave",,"Somerville, MA 02144",,97,"Winslow Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnj4yalstsjq8565chfkyraynwec,building_centroid
