address,street,point,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio Address Line 4","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State / Province","Geocodio Nation","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Building Name","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"98 Oxford Street, Somerville MA 02145","Oxford Street 1-98",end,42.387518,-71.1035,1,rooftop,"98 Oxford St",,"Somerville, MA 02143",,98,"Oxford St",,,Somerville,MA,,"Middlesex County",02143,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usntrtpttn6nset6qr5guglh8ntb4,building_centroid
"214 Pearl Street, Somerville MA 02145","Pearl Street 214-247",start,42.387456,-71.09296,0.91,nearest_rooftop_match,"213 Pearl St",,"Somerville, MA 02145",,213,"Pearl St",,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnyvblvebp5j3wed44xsb38m2fub,building_centroid
"247 Pearl Street, Somerville MA 02145","Pearl Street 214-247",end,42.388224,-71.095473,1,rooftop,"247 Pearl St",,"Somerville, MA 02145",,247,"Pearl St",,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnyvblvebp5j3wem6r3u7xsbbmjh,building_centroid
"121 School Street, Somerville MA 02145","School Street 121-End",start,42.386654,-71.099026,1,range_interpolation,"121 School St",,"Somerville, MA 02143",,121,"School St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_usnlnde3fxmg38n754xwwknxus483,
"200 School Street, Somerville MA 02145","School Street 121-End",end,42.390164,-71.096767,0.94,nearest_rooftop_match,"198 School St",,"Somerville, MA 02145",,198,"School St",,,Somerville,MA,,"Middlesex County",02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnwkubqhjx8m566asq9qb5nuxxva,building_centroid
"101 Walnut Street, Somerville MA 02145","Walnut Street 101-185",start,42.386836,-71.09353,1,range_interpolation,"101 Walnut St",,"Somerville, MA 02145",,101,"Walnut St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usnbyzxfgnv9t7jca226h6vptx2h3,
"185 Walnut Street, Somerville MA 02145","Walnut Street 101-185",end,42.390621,-71.091152,1,range_interpolation,"185 Walnut St",,"Somerville, MA 02145",,185,"Walnut St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usnbyzxfgnv9t7jc97sanrfflxfae,
"Adams Street, Somerville MA 02145","Adams Street",mid,42.394234,-71.100513,1,street_center,"Adams St",,"Somerville, MA 02145",,,"Adams St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_uss8vkgtyraadvjg,
"Ames Street, Somerville MA 02145","Ames Street",mid,42.392634,-71.102447,1,street_center,"Ames St",,"Somerville, MA 02145",,,"Ames St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_uss2gqexynmbrjyg,
"Bartlett Street, Somerville MA 02145","Bartlett Street",mid,42.39246,-71.103021,1,street_center,"Bartlett St",,"Somerville, MA 02145",,,"Bartlett St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_uss5v4kr9gwjrff6,
"Berwick Street, Somerville MA 02145","Berwick Street",mid,42.39516,-71.106985,1,street_center,"Berwick St",,"Somerville, MA 02145",,,"Berwick St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussb3hf99qk49nj8,
"Bradford Avenue, Somerville MA 02145","Bradford Avenue",mid,42.392463,-71.094622,1,street_center,"Bradford Ave",,"Somerville, MA 02145",,,"Bradford Ave",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_uss7252a4k25tg5a,
"Bradley Street, Somerville MA 02145","Bradley Street",mid,42.387907,-71.094695,1,street_center,"Bradley St",,"Somerville, MA 02145",,,"Bradley St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussmwlmub5c7bh82,
"Browning Road, Somerville MA 02145","Browning Road",mid,42.393918,-71.098761,1,street_center,"Browning Rd",,"Somerville, MA 02145",,,"Browning Rd",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussg8262y6z92mqc,
"Cambria Street, Somerville MA 02145","Cambria Street",mid,42.38766,-71.105119,1,street_center,"Cambria St",,"Somerville, MA 02143",,,"Cambria St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_ussc4dzzh4lvpnbd,
"Central Road, Somerville MA 02145","Central Road",mid,42.388762,-71.102338,1,street_center,"Central Rd",,"Somerville, MA 02143",,,"Central Rd",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_ussgwlh4bgdlkmpg,
"Charles E Ryan Road, Somerville MA 02145","Charles E Ryan Road",mid,42.395622,-71.10722,1,street_center,"Charles E Ryan Rd",,"Somerville, MA 02145",,,"Charles E Ryan Rd",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussbl737dwkq9e5b,
