address,street,point,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio Address Line 4","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State / Province","Geocodio Nation","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Building Name","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"Sellon Place, Somerville MA 02145","Sellon Place",mid,42.389171,-71.095323,1,street_center,"Sellon Pl",,"Somerville, MA 02145",,,"Sellon Pl",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_uss74aaxye7nnyk9,
"Sherman Court, Somerville MA 02145","Sherman Court",mid,42.391301,-71.093199,1,street_center,"Sherman Ct",,"Somerville, MA 02145",,,"Sherman Ct",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussbbm7v9nr63f62,
"Stickney Avenue, Somerville MA 02145","Stickney Avenue",mid,42.38904,-71.09599,1,street_center,"Stickney Ave",,"Somerville, MA 02145",,,"Stickney Ave",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_uss5u73uxtudv5eb,
"Sycamore Street, Somerville MA 02145","Sycamore Street",mid,42.388846,-71.10121,1,street_center,"Sycamore St",,"Somerville, MA 02143",,,"Sycamore St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_uss54ev8hv3au5mh,
"Sycamore Terrace, Somerville MA 02145","Sycamore Terrace",mid,42.393411,-71.098168,1,street_center,"Sycamore Ter",,"Somerville, MA 02145",,,"Sycamore Ter",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussmk6gy7bwj5fda,
"Tennyson Street, Somerville MA 02145","Tennyson Street",mid,42.392585,-71.099472,1,street_center,"Tennyson St",,"Somerville, MA 02145",,,"Tennyson St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_uss8ph434bewl9t8,
"Thurston Street, Somerville MA 02145","Thurston Street",mid,42.39244,-71.097078,1,street_center,"Thurston St",,"Somerville, MA 02145",,,"Thurston St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_uss6s8sr2cjgztpg,
"Trull Street, Somerville MA 02145","Trull Street",mid,42.395038,-71.103618,1,street_center,"Trull St",,"Somerville, MA 02145",,,"Trull St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_uss7nwkxhtf49cwh,
"Vernon Street, Somerville MA 02145","Vernon Street",mid,42.391541,-71.102362,1,street_center,"Vernon St",,"Somerville, MA 02145",,,"Vernon St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussrd48txr3kk9ch,
"Vinal Street, Somerville MA 02145","Vinal Street",mid,42.396279,-71.105065,1,street_center,"Vinal St",,"Somerville, MA 02145",,,"Vinal St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usslkcmn6e9hzb4g,
"Waldo Street, Somerville MA 02145","Waldo Street",mid,42.389132,-71.104048,1,street_center,"Waldo St",,"Somerville, MA 02143",,,"Waldo St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_ussl3nkbrfav3932,
"Walnut Road, Somerville MA 02145","Walnut Road",mid,42.390373,-71.092443,1,street_center,"Walnut Rd",,"Somerville, MA 02145",,,"Walnut Rd",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussm4uq6kgcdat4c,
"Walter Terrace, Somerville MA 02145","Walter Terrace",mid,42.389118,-71.092995,1,street_center,"Walter Ter",,"Somerville, MA 02145",,,"Walter Ter",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_usscxcvz9kuapbxa,
"Wellington Avenue, Somerville MA 02145","Wellington Avenue",mid,42.389645,-71.090495,1,street_center,"Wellington Ave",,"Somerville, MA 02145",,,"Wellington Ave",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_ussecvh4m5nlju8g,
"Westwood Road, Somerville MA 02145","Westwood Road",mid,42.387069,-71.105483,1,street_center,"Westwood Rd",,"Somerville, MA 02143",,,"Westwood Rd",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_uss6zsk5f7y4b834,
"Willoughby Street, Somerville MA 02145","Willoughby Street",mid,42.389582,-71.101643,1,street_center,"Willoughby St",,"Somerville, MA 02143",,,"Willoughby St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_ussqp4hrk65s7z5d,
"Wilton Street, Somerville MA 02145","Wilton Street",mid,42.394489,-71.105568,1,street_center,"Wilton St",,"Somerville, MA 02145",,,"Wilton St",,,Somerville,MA,,"Middlesex County",02145,US,,"TIGER/Line® from the US Census Bureau",gcod_uss38hd2hwjubdhh,
"Woodbine Street, Somerville MA 02145","Woodbine Street",mid,42.391556,-71.10578,1,street_center,"Woodbine St",,"Somerville, MA 02143",,,"Woodbine St",,,Somerville,MA,,"Middlesex County",02143,US,,"TIGER/Line® from the US Census Bureau",gcod_uss2emjhq8tym3b5,
