address,street,num,school,range_low,range_high,Geocodio Latitude,Geocodio Longitude,Geocodio Accuracy Score,Geocodio Accuracy Type,Geocodio Address Line 1,Geocodio Address Line 2,Geocodio Address Line 3,Geocodio Address Line 4,Geocodio House Number,Geocodio Street,Geocodio Unit Type,Geocodio Unit Number,Geocodio City,Geocodio State / Province,Geocodio Nation,Geocodio County,Geocodio Postal Code,Geocodio Country,Geocodio Building Name,Geocodio Source,Geocodio Stable Address Key,Geocodio Match Type
"26 Butler Drive, Somerville MA",Butler Drive,26,HEALEY,2,98,42.395128,-71.091275,1,range_interpolation,26 Butler Dr,,"Somerville, MA 02145",,26,Butler Dr,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usnn2gx3anr3qzj9chdwzhynr6zlf,
"50 Butler Drive, Somerville MA",Butler Drive,50,HEALEY,2,98,42.395172,-71.091241,1,range_interpolation,50 Butler Dr,,"Somerville, MA 02145",,50,Butler Dr,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usnn2gx3anr3qzj9lgf58x7eze6bh,
"74 Butler Drive, Somerville MA",Butler Drive,74,HEALEY,2,98,42.395217,-71.091207,1,range_interpolation,74 Butler Dr,,"Somerville, MA 02145",,74,Butler Dr,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usnn2gx3anr3qzj9h38ea7h5kn7e4,
"98 Butler Drive, Somerville MA",Butler Drive,98,HEALEY,2,98,42.395352,-71.091293,1,range_interpolation,98 Butler Dr,,"Somerville, MA 02145",,98,Butler Dr,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usnn2gx3anr3qzj9bjquj9ymlvdvb,
"1 Canal Lane, Somerville MA",Canal Lane,1,HEALEY,1,99,42.396929,-71.093777,0.91,nearest_rooftop_match,5 Canal Ln,,"Somerville, MA 02145",,5,Canal Ln,,,Somerville,MA,,Middlesex County,02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usndf6644qqlagv8sdvl7llsj3ubc,building_centroid
"26 Canal Lane, Somerville MA",Canal Lane,26,HEALEY,1,99,42.39674,-71.093715,1,range_interpolation,26 Canal Ln,,"Somerville, MA 02145",,26,Canal Ln,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usndf6644qqlagv8l5fwye6stakf5,
"50 Canal Lane, Somerville MA",Canal Lane,50,HEALEY,1,99,42.396865,-71.093863,1,range_interpolation,50 Canal Ln,,"Somerville, MA 02145",,50,Canal Ln,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usndf6644qqlagv8p74scjs4gsqh5,
"74 Canal Lane, Somerville MA",Canal Lane,74,HEALEY,1,99,42.396978,-71.094013,1,range_interpolation,74 Canal Ln,,"Somerville, MA 02145",,74,Canal Ln,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usndf6644qqlagv8gfc3uc5f7gke4,
"99 Canal Lane, Somerville MA",Canal Lane,99,HEALEY,1,99,42.396929,-71.093777,0.83,nearest_rooftop_match,25 Canal Ln,,"Somerville, MA 02145",,25,Canal Ln,,,Somerville,MA,,Middlesex County,02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usndf6644qqlagv845xhdnfh7tv69,building_centroid
"301 Canal Street, Somerville MA",Canal Street,301,HEALEY,301,499,42.394217,-71.079225,1,range_interpolation,301 Canal St,,"Somerville, MA 02145",,301,Canal St,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usncj8f8aknv3jzg7vpkd995vwzg9,
"334 Canal Street, Somerville MA",Canal Street,334,HEALEY,301,499,42.394265,-71.080154,0.87,nearest_rooftop_match,300 Canal St,,"Somerville, MA 02145",,300,Canal St,,,Somerville,MA,,Middlesex County,02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usncj8f8aknv3jzgu8jhe42mstkb6,building_centroid
"367 Canal Street, Somerville MA",Canal Street,367,HEALEY,301,499,42.394515,-71.078016,1,range_interpolation,367 Canal St,,"Somerville, MA 02145",,367,Canal St,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usncj8f8aknv3jzgc23wvypqy72ab,
"400 Canal Street, Somerville MA",Canal Street,400,HEALEY,301,499,42.394001,-71.079317,0.87,nearest_rooftop_match,375 Canal St,,"Somerville, MA 02145",,375,Canal St,,,Somerville,MA,,Middlesex County,02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usncj8f8aknv3jzg5e2etvyhucuu9,building_centroid
"433 Canal Street, Somerville MA",Canal Street,433,HEALEY,301,499,42.394247,-71.080229,1,range_interpolation,433 Canal St,,"Somerville, MA 02145",,433,Canal St,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usncj8f8aknv3jzg3jz4lx5zlhnl6,
"466 Canal Street, Somerville MA",Canal Street,466,HEALEY,301,499,42.393743,-71.078713,0.88,nearest_rooftop_match,449 Canal St,,"Somerville, MA 02145",,449,Canal St,,,Somerville,MA,,Middlesex County,02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usncj8f8aknv3jzgt4k87wnbddj4h,building_centroid
"499 Canal Street, Somerville MA",Canal Street,499,HEALEY,301,499,42.393743,-71.078713,1,rooftop,499 Canal St,,"Somerville, MA 02145",,499,Canal St,,,Somerville,MA,,Middlesex County,02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usncj8f8aknv3jzg7kechadzgggm2,building_centroid
"1 Century Street, Somerville MA",Century Street,1,HEALEY,1,99,42.397533,-71.096639,1,rooftop,1 Century St,,"Somerville, MA 02145",,1,Century St,,,Somerville,MA,,Middlesex County,02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn6dbvjpqpxw5kawxxnph4uqgqud,building_centroid
"26 Century Street, Somerville MA",Century Street,26,HEALEY,1,99,42.397019,-71.097079,1,range_interpolation,26 Century St,,"Somerville, MA 02145",,26,Century St,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usn6dbvjpqpxw5kaecjcnytv6shsb,
"50 Century Street, Somerville MA",Century Street,50,HEALEY,1,99,42.396916,-71.097188,1,range_interpolation,50 Century St,,"Somerville, MA 02145",,50,Century St,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usn6dbvjpqpxw5kaazvcbhr2563vg,
"74 Century Street, Somerville MA",Century Street,74,HEALEY,1,99,42.396851,-71.097267,1,range_interpolation,74 Century St,,"Somerville, MA 02145",,74,Century St,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usn6dbvjpqpxw5kayapqjuqg6pwu8,
"1 Crest Hill Road, Somerville MA",Crest Hill Road,1,HEALEY,1,99,42.398737,-71.086784,0.89,nearest_rooftop_match,11 Crest Hill Rd,,"Somerville, MA 02145",,11,Crest Hill Rd,,,Somerville,MA,,Middlesex County,02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnzy4fzanb9qkjc7dxjk5wk3mzwa,building_centroid
"26 Crest Hill Road, Somerville MA",Crest Hill Road,26,HEALEY,1,99,42.398623,-71.086996,1,range_interpolation,26 Crest Hill Rd,,"Somerville, MA 02145",,26,Crest Hill Rd,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usnzy4fzanb9qkjcnaps9rpryjekc,
"50 Crest Hill Road, Somerville MA",Crest Hill Road,50,HEALEY,1,99,42.398763,-71.086807,1,range_interpolation,50 Crest Hill Rd,,"Somerville, MA 02145",,50,Crest Hill Rd,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usnzy4fzanb9qkjcewgub65g7s65a,
"74 Crest Hill Road, Somerville MA",Crest Hill Road,74,HEALEY,1,99,42.398903,-71.086617,1,range_interpolation,74 Crest Hill Rd,,"Somerville, MA 02145",,74,Crest Hill Rd,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usnzy4fzanb9qkjclvssf7a4xvejg,
"1 Derby Street, Somerville MA",Derby Street,1,HEALEY,1,99,42.39293,-71.088911,0.91,nearest_rooftop_match,2 Derby St,,"Somerville, MA 02145",,2,Derby St,,,Somerville,MA,,Middlesex County,02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnlu49559x6cf5hkz7bcsquu2j23,building_centroid
"26 Derby Street, Somerville MA",Derby Street,26,HEALEY,1,99,42.393571,-71.089813,1,rooftop,26 Derby St,,"Somerville, MA 02145",,26,Derby St,,,Somerville,MA,,Middlesex County,02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnlu49559x6cf5hzwrlxct53edqg,building_centroid
"50 Derby Street, Somerville MA",Derby Street,50,HEALEY,1,99,42.394092,-71.090485,1,rooftop,50 Derby St,,"Somerville, MA 02145",,50,Derby St,,,Somerville,MA,,Middlesex County,02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnlu49559x6cf5h6vd84srtm8hg2,building_centroid
"74 Derby Street, Somerville MA",Derby Street,74,HEALEY,1,99,42.394669,-71.091257,1,rooftop,74 Derby St,,"Somerville, MA 02145",,74,Derby St,,,Somerville,MA,,Middlesex County,02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnlu49559x6cf5hhjdvwdrbee8pf,building_centroid
"99 Derby Street, Somerville MA",Derby Street,99,HEALEY,1,99,42.395068,-71.091252,0.88,nearest_rooftop_match,79 Derby St,,"Somerville, MA 02145",,79,Derby St,,,Somerville,MA,,Middlesex County,02145,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnlu49559x6cf5h8lufxjtjq9a9e,building_centroid
"1 Douglas Avenue, Somerville MA",Douglas Avenue,1,HEALEY,1,99,42.395328,-71.096978,1,range_interpolation,1 Douglas Ave,,"Somerville, MA 02145",,1,Douglas Ave,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usnn3wj9tm9l7j5cs4k47gfqz6rzc,
"26 Douglas Avenue, Somerville MA",Douglas Avenue,26,HEALEY,1,99,42.395526,-71.097039,1,range_interpolation,26 Douglas Ave,,"Somerville, MA 02145",,26,Douglas Ave,,,Somerville,MA,,Middlesex County,02145,US,,TIGER/Line® from the US Census Bureau,gcod_usnn3wj9tm9l7j5c7pwgcpw7v5tq6,
