address,street
"220 Summer Street, Somerville MA 02144",Summer Street 172-End
"50 Cedar Street, Somerville MA 02144",Cedar Street 1-105
"100 Lowell Street, Somerville MA 02144",Lowell Street 1-207
"55 Willow Avenue, Somerville MA 02144",Willow Avenue 1-111
"40 Central Street, Somerville MA 02145",Central Street 1-82
"305 Beacon Street, Somerville MA 02144",Beacon Street 236-374
"139 Hudson Street, Somerville MA 02144",Hudson Street 93-185
"629 Somerville Avenue, Somerville MA 02144",Somerville Avenue 583-675
