address,street,num,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio Address Line 4","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State / Province","Geocodio Nation","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Building Name","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"72 Alpine Street, Somerville MA 02145","Alpine Street",72,42.392726,-71.108014,1,rooftop,"72 Alpine St",,"Somerville, MA 02144",,72,"Alpine St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usns6bp3eecanku8gq2pgmfna8h96,building_centroid
"87 Alpine Street, Somerville MA 02145","Alpine Street",87,42.392314,-71.107658,1,rooftop,"87 Alpine St",,"Somerville, MA 02144",,87,"Alpine St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usns6bp3eecanku8ctfyxdqkmxxjd,building_centroid
"102 Alpine Street, Somerville MA 02145","Alpine Street",102,42.392251,-71.106749,1,rooftop,"102 Alpine St",,"Somerville, MA 02144",,102,"Alpine St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usns6bp3eecanku8jzlex65tn642h,building_centroid
"2 Appleton Street, Somerville MA 02144","Appleton Street",2,42.396239,-71.115637,1,rooftop,"2 Appleton St",,"Somerville, MA 02144",,2,"Appleton St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnum36khuymtxp4bxeuz9xffatgb,building_centroid
"17 Appleton Street, Somerville MA 02144","Appleton Street",17,42.39684,-71.116294,1,rooftop,"17 Appleton St",,"Somerville, MA 02144",,17,"Appleton St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnum36khuymtxp4a56njtdtx29da,building_centroid
"32 Appleton Street, Somerville MA 02144","Appleton Street",32,42.397043,-71.117584,1,rooftop,"32 Appleton St",,"Somerville, MA 02144",,32,"Appleton St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnum36khuymtxp4rvecekq6x9qff,building_centroid
"34 Appleton Street, Somerville MA 02144","Appleton Street",34,42.397147,-71.11706,1,range_interpolation,"34 Appleton St",,"Somerville, MA 02144",,34,"Appleton St",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_usnum36khuymtxp4vab3lh3mbcfn3,
"7 Bay State Avenue, Somerville MA 02144","Bay State Avenue",7,42.400375,-71.114788,1,rooftop,"7 Bay State Ave",,"Somerville, MA 02144",,7,"Bay State Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnwt3k5wxrshet3qu4mbbukujeqb,building_centroid
"22 Bay State Avenue, Somerville MA 02144","Bay State Avenue",22,42.39995,-71.114981,1,range_interpolation,"22 Bay State Ave",,"Somerville, MA 02144",,22,"Bay State Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_usnwt3k5wxrshet38xjw486feq8t9,
"37 Bay State Avenue, Somerville MA 02144","Bay State Avenue",37,42.399397,-71.115436,1,rooftop,"37 Bay State Ave",,"Somerville, MA 02144",,37,"Bay State Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnwt3k5wxrshet3fbeukvt2dq9w7,building_centroid
"52 Bay State Avenue, Somerville MA 02144","Bay State Avenue",52,42.398842,-71.115297,1,rooftop,"52 Bay State Ave",,"Somerville, MA 02144",,52,"Bay State Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnwt3k5wxrshet3fwbc8v3z26vgd,building_centroid
"67 Bay State Avenue, Somerville MA 02144","Bay State Avenue",67,42.398326,-71.11571,1,range_interpolation,"67 Bay State Ave",,"Somerville, MA 02144",,67,"Bay State Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_usnwt3k5wxrshet3gc4ye8wka6sad,
"69 Bay State Avenue, Somerville MA 02144","Bay State Avenue",69,42.398516,-71.116152,1,rooftop,"69 Bay State Ave",,"Somerville, MA 02144",,69,"Bay State Ave",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnwt3k5wxrshet3zlazbys2r3hh3,building_centroid
"7 Bellevue Terrace, Somerville MA 02144","Bellevue Terrace",7,42.392728,-71.109314,1,rooftop,"7 Bellevue Ter",,"Somerville, MA 02144",,7,"Bellevue Ter",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usn5alejvrk8bnm8xcwtgppu3fpjb,building_centroid
