address,street,num,school,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio Address Line 4","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State / Province","Geocodio Nation","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Building Name","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"21 Day Street, Somerville MA","Day Street",21,"WEST SOMERVILLE",42.394878,-71.124798,1,range_interpolation,"21 Day St",,"Somerville, MA 02144",,21,"Day St",,,Somerville,MA,,"Middlesex County",02144,US,,"TIGER/Line® from the US Census Bureau",gcod_usnr2qly85s9g2ze69y7jqrntkm3h,
"39 Day Street, Somerville MA","Day Street",39,"WEST SOMERVILLE",42.395607,-71.123918,1,rooftop,"39 Day St",,"Somerville, MA 02144",,39,"Day St",,,Somerville,MA,,"Middlesex County",02144,US,,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",gcod_usnr2qly85s9g2ze7hzu2sj5a4xuf,building_centroid
